loss,accuracy
2.3027244925498964,0.0865
2.298162341117859,0.1
2.887024611234665,0.1686
2.523139661550522,0.1071
4.817682242393493,0.1777
2.460513007640839,0.1889
2.3773538768291473,0.1924
2.58583841919899,0.176
3.003054618835449,0.1826
2.877625232934952,0.1822
2.3372974753379823,0.1982
2.2823374390602114,0.1975
3.1902643918991087,0.2357
2.6284183979034426,0.2446
2.367881155014038,0.2474
2.3131741523742675,0.2459
3.167386108636856,0.2235
2.6616900682449343,0.1554
2.3607110738754273,0.2036
2.25852490067482,0.2276
3.4479125320911406,0.2484
2.3583500921726226,0.2515
3.3791487574577332,0.2613
2.583277755975723,0.2562
2.4592449605464934,0.259
2.2078195452690124,0.2694
2.188135954737663,0.2682
2.9499336659908293,0.1576
3.4317746460437775,0.2437
2.235502338409424,0.2288
2.229094457626343,0.2324
2.222740960121155,0.2336
2.2166350722312926,0.231
2.526995086669922,0.2618
2.201600432395935,0.2664
3.6644172728061677,0.2688
3.0804404437541963,0.2765
3.3900719404220583,0.2722
2.4037847995758055,0.2805
2.3814438611268995,0.2805
2.21655016541481,0.2811
2.164564126729965,0.2859
2.161238557100296,0.288
2.1546497285366057,0.2892
3.028463143110275,0.1036
3.33230522274971,0.2815
2.5834142684936525,0.2919
2.4781615674495696,0.2918
2.0946605086326597,0.2791
3.0368407666683197,0.29
2.402688902616501,0.2914
2.1482857167720795,0.2313
2.0990370333194734,0.2443
2.078376975655556,0.2539
2.074490135908127,0.2607
2.0575901597738264,0.2687
2.0462236940860747,0.2719
2.0238545686006546,0.2769
2.010578292608261,0.2804
2.012284407019615,0.2867
1.991335815191269,0.2895
1.9899930357933044,0.2912
1.9903995752334596,0.2888
1.971299836039543,0.2875
1.9750712305307387,0.2917
1.98196319937706,0.2967
1.9778135806322097,0.2957
2.8668625831604,0.2607
2.4554654598236083,0.1776
2.304769974946976,0.1878
3.205864554643631,0.1834
2.2695461332798006,0.2125
2.6079316198825837,0.2568
2.2581761479377747,0.2666
2.199194484949112,0.2706
2.8672289133071898,0.2831
2.447017991542816,0.2902
2.2298611998558044,0.2914
2.177058604359627,0.2957
3.249770587682724,0.1829
2.166056674718857,0.2507
2.116695687174797,0.2528
2.098980838060379,0.2582
2.091852992773056,0.2605
3.505331164598465,0.1723
3.375399261713028,0.1837
2.352385604381561,0.2166
4.229702091217041,0.1981
4.001962125301361,0.1704
2.8817230999469756,0.2071
2.2250765681266786,0.2523
2.1600597858428956,0.2659
2.467011111974716,0.2893
4.123522859811783,0.2155
2.874256765842438,0.2287
1.9995389819145202,0.319
1.9857377350330352,0.331
2.881011962890625,0.241
4.254447627067566,0.1741
3.012357759475708,0.1983
3.289573645591736,0.2073
2.437715619802475,0.2521
2.9633062064647673,0.3017
2.4589903175830843,0.3084
2.3469501376152038,0.3124
2.1087709248065947,0.3233
2.051894810795784,0.3239
3.132802611589432,0.2835
2.5480809241533278,0.2916
3.5111355245113374,0.2319
4.387236618995667,0.287
2.813244694471359,0.2918
2.4143868923187255,0.2964
2.316245663166046,0.2969
5.32903561592102,0.2731
3.759123903512955,0.2899
3.091979330778122,0.2927
2.7061282634735107,0.2978
2.2805451273918154,0.2972
2.1354863375425337,0.3061
2.0885020017623903,0.3106
2.0799380600452424,0.3108
2.0613826274871827,0.312
3.032919043302536,0.2183
2.2212998807430266,0.262
2.135208103060722,0.2733
2.047080659866333,0.2876
2.01196474134922,0.2899
3.728110724687576,0.2795
2.8279878914356233,0.2881
2.5334247827529905,0.2888
2.4403081238269806,0.294
2.3525262773036957,0.2964
2.212309807538986,0.3021
2.1871726125478745,0.3044
3.3879853188991547,0.2012
2.7909694015979767,0.2887
2.4159098327159882,0.2946
2.2361065208911897,0.3061
2.207844653725624,0.3073
2.088563361763954,0.3146
2.05990549325943,0.3247
2.0092209398746492,0.328
1.973034417629242,0.3329
1.9940914005041122,0.3074
1.9056973814964295,0.321
1.8929464250802994,0.3293
2.363054883480072,0.2606
2.0415059477090836,0.3051
4.648237574100494,0.2833
2.9792134523391725,0.2953
2.716278612613678,0.2976
3.4050677895545958,0.2969
2.5168209075927734,0.3144
3.025874638557434,0.3055
2.526212680339813,0.3137
2.2797250539064406,0.3234
2.172583022713661,0.3322
2.1025135457515716,0.3373
1.9857040286064147,0.3415
1.9679092049598694,0.3424
1.9574326008558274,0.3462
1.9366648823022843,0.3488
1.917875587940216,0.3536
1.901125681400299,0.355
1.8933147609233856,0.3586
1.8634858936071397,0.3579
3.193501430749893,0.2189
3.927343887090683,0.2262
3.7423571944236755,0.2377
4.319876509904861,0.2346
2.7851462423801423,0.2811
4.425194370746612,0.191
4.489790987968445,0.1985
2.7177625060081483,0.2626
2.448894464969635,0.2859
2.249809557199478,0.3093
2.100167417526245,0.3312
2.0353958666324616,0.3378
1.9447590112686157,0.3464
1.9296717017889022,0.3469
1.924136209487915,0.3495
1.9112804383039474,0.3553
4.39600185751915,0.299
3.232403177022934,0.31
3.122988748550415,0.305
2.3871458798646925,0.3253
2.2034240484237673,0.3293
2.1233047187328338,0.3324
2.070729288458824,0.3372
2.0519166439771652,0.3412
2.0160727351903915,0.3446
3.8041810572147368,0.2996
4.14172870516777,0.3049
3.475260192155838,0.3175
2.633350908756256,0.3314
3.4414977371692657,0.2273
2.3074612855911254,0.3174
4.526242744922638,0.3032
2.7223880767822264,0.3261
2.574576336145401,0.3324
2.305275622010231,0.3417
3.8526235818862915,0.2405
2.5046329855918885,0.3269
2.2419980704784392,0.3458
2.1619053423404693,0.353
2.11227271258831,0.3606
2.0957641333341597,0.3604
2.0582429707050323,0.3647
4.4620507001876835,0.226
3.731078881025314,0.2475
2.349792090058327,0.333
3.120462399721146,0.3363
2.4438192576169966,0.3602
2.3636485278606414,0.3676
3.185701012611389,0.2961
4.0379379987716675,0.3087
3.740774416923523,0.315
3.353546071052551,0.3247
3.1250044822692873,0.3305
4.590089654922485,0.2275
2.7783911406993864,0.304
2.3934686720371245,0.3359
3.769061779975891,0.3138
3.870269912481308,0.2428
3.390157866477966,0.3197
3.152785688638687,0.3263
3.5416528820991515,0.328
2.7919977724552156,0.3464
2.6020055770874024,0.3535
2.39535431265831,0.3643
2.3645856320858,0.366
2.2949255645275115,0.3717
2.2166951179504393,0.3778
2.186228263378143,0.3813
3.1569261103868484,0.3087
2.967822712659836,0.3228
5.1378835320472716,0.312
3.872376358509064,0.3277
3.1689091622829437,0.3399
3.3020095825195312,0.29
3.2741619110107423,0.3017
2.705537861585617,0.3308
2.544635570049286,0.346
3.119881123304367,0.3192
2.3947044551372527,0.364
2.2919355601072313,0.3726
2.242775970697403,0.3799
2.2330126434564592,0.382
2.1489369690418245,0.385
3.9246117889881136,0.3246
3.5876415193080904,0.2699
3.340843904018402,0.3205
2.7040507704019547,0.3417
3.1598413467407225,0.3136
2.604831326007843,0.3481
2.6413324177265167,0.3769
2.397204226255417,0.3823
3.2136722028255464,0.3275
2.534413528442383,0.373
3.6004200100898744,0.3306
2.9424354791641236,0.3676
2.656973886489868,0.3845
2.477198150753975,0.3881
2.3991333663463594,0.3928
2.3351769030094145,0.395
2.2815357387065887,0.3965
3.8450281381607057,0.338
3.90874183177948,0.3079
3.207460826635361,0.3406
2.8335470020771027,0.3515
2.803001880645752,0.3579
2.4648371398448945,0.3821
2.4098455786705015,0.3872
2.2534205973148347,0.394
2.565705734491348,0.3796
2.6267713606357574,0.3793
2.42043514251709,0.3923
2.808235776424408,0.3696
2.7180969536304476,0.3763
3.3475418984889984,0.3503
2.9334123551845552,0.3709
2.685339939594269,0.3807
2.56882529258728,0.3898
2.8835047662258146,0.3699
2.5396594047546386,0.3934
2.385583984851837,0.4035
2.273962080478668,0.407
2.740079963207245,0.3804
2.4893420964479445,0.3928
2.9985116839408876,0.3899
4.0928255915641785,0.344
3.246312302350998,0.3731
2.775946927070618,0.3932
2.974930116534233,0.3648
2.796818143129349,0.3814
2.657182252407074,0.3861
2.491907334327698,0.402
2.437147980928421,0.4044
2.743491953611374,0.3901
