loss,accuracy
2.2199897348880766,0.2161
1.9202367782592773,0.3102
1.9287081569433213,0.3179
2.4489853382110596,0.2216
1.829978421330452,0.347
1.7761030167341232,0.4071
1.6953811764717102,0.4314
1.8903813719749452,0.3825
1.7789707094430924,0.3928
2.1389598697423935,0.3476
1.6892534613609314,0.4224
1.6497115552425385,0.4424
1.6496904402971269,0.4471
1.7125216990709304,0.435
1.5679966896772384,0.4815
1.805374127626419,0.4338
1.6298986673355103,0.4756
2.701792025566101,0.3927
1.6747860491275788,0.4605
1.865367841720581,0.452
1.5584168791770936,0.4876
1.9488893061876298,0.4015
1.712988519668579,0.4612
2.1296474784612656,0.4129
1.739288681745529,0.4619
1.8102704465389252,0.4757
1.664852361381054,0.471
1.6797649085521698,0.4826
2.2125339090824125,0.4189
3.440387839078903,0.3607
2.272253894805908,0.383
1.5472546368837357,0.4926
1.6496823221445083,0.5118
1.9431051582098007,0.475
1.6543786019086837,0.4913
1.505451315641403,0.521
1.6446818292140961,0.5298
2.0193319767713547,0.4842
1.6419643878936767,0.4937
1.7132944941520691,0.5088
1.8333458721637725,0.4813
2.0864133715629576,0.4806
2.4475087940692903,0.4264
1.5500200808048248,0.5113
1.8177466809749603,0.4991
2.0026469439268113,0.4664
2.7265807330608367,0.3994
1.6175923615694046,0.5181
1.6846238434314729,0.5108
1.7760219603776932,0.5027
3.0655525833368302,0.4086
1.8027138471603394,0.5157
2.0059104919433595,0.503
1.581141048669815,0.5482
2.0192010432481764,0.4617
1.5295626908540725,0.5307
2.5382603824138643,0.444
1.7446801394224167,0.4963
1.7321117222309113,0.5179
1.829189971089363,0.5268
2.3712567746639253,0.4803
1.7442653954029084,0.5313
1.6343668878078461,0.5384
1.760468566417694,0.5176
2.019440212845802,0.4669
1.7575297981500626,0.53
2.0091878175735474,0.5204
2.0929018914699555,0.5012
1.88299480676651,0.516
2.4329811155796053,0.4475
2.219451630115509,0.4538
2.3219535499811172,0.4431
1.9114466041326523,0.481
2.3349180221557617,0.4581
1.742998132109642,0.5197
1.8527793616056443,0.5271
1.8027846604585647,0.526
1.9697551041841508,0.5031
2.208599480986595,0.4881
1.8399920225143434,0.5164
1.6340365782380104,0.5583
2.013572610914707,0.5145
2.2162213414907455,0.5078
1.8193622201681137,0.5292
1.6560793697834015,0.5515
1.827270394563675,0.5415
2.0962820410728455,0.491
1.8774267464876175,0.5043
2.1864208579063416,0.5143
3.0072214901447296,0.4359
2.082193672657013,0.5133
1.8985644638538361,0.546
2.1057261556386946,0.5248
2.2043380349874497,0.4906
2.191029664874077,0.4973
1.8656436026096344,0.5166
1.7820116937160493,0.5452
2.260258659720421,0.5143
2.0024235039949416,0.533
2.0063315510749815,0.5415
2.243198189139366,0.5281
2.2396071195602416,0.5201
1.8707235693931579,0.5533
2.3068756461143494,0.5075
2.246391993761063,0.5149
2.2907168686389925,0.5131
1.8126391798257828,0.5645
2.0030833214521406,0.5276
2.333998736739159,0.5007
1.939416590332985,0.5242
2.0974724888801575,0.4995
2.1270134687423705,0.5156
2.2421987533569334,0.5148
2.3017108142375946,0.5234
2.289269044995308,0.5339
2.523016130924225,0.5164
3.1752801656723024,0.4342
2.188961166143417,0.4988
2.0193449556827545,0.5329
2.087975171208382,0.5249
2.245865473151207,0.5042
1.9804909348487854,0.5389
2.6713513016700743,0.4789
2.0069599509239198,0.5395
1.9054254710674285,0.5528
2.0686476290225984,0.5469
2.6127162158489226,0.4974
2.3082179605960844,0.5032
2.2368947178125382,0.525
2.5811164021492004,0.5011
2.449348819255829,0.4946
2.5530365228652956,0.4971
3.202963960170746,0.4324
2.8381786704063416,0.4672
2.2333964943885802,0.5159
2.532455587387085,0.4797
2.010112488269806,0.5442
2.709466576576233,0.489
2.153020977973938,0.5443
2.355203738808632,0.5354
3.197382354736328,0.4728
3.055535739660263,0.4642
2.675336015224457,0.5
1.9010213375091554,0.5346
2.175915691256523,0.5285
2.1818266332149507,0.5248
1.949415248632431,0.5562
3.0619899213314055,0.4761
4.296071499586105,0.378
2.5326634347438812,0.4838
2.21710584461689,0.5245
2.405910927057266,0.5123
2.7911280035972594,0.4914
2.2201863527297974,0.5203
2.6588319003582,0.506
2.8031119883060454,0.5062
2.3189705699682235,0.5278
3.022035908699036,0.4497
2.281898263096809,0.5261
2.156666937470436,0.5479
2.6666346371173857,0.5155
2.234211891889572,0.5457
2.328906613588333,0.5254
2.7290828347206117,0.5024
2.65736780166626,0.5166
2.4206701934337618,0.516
2.32219877243042,0.5343
2.474926173686981,0.5315
3.343133860826492,0.4466
2.214741513133049,0.5346
2.285987177491188,0.5403
2.528429627418518,0.5187
2.6375885248184203,0.5126
2.4151422441005708,0.5292
2.602091893553734,0.5369
2.230305513739586,0.5432
2.293020886182785,0.5418
2.407435429096222,0.543
2.913623070716858,0.4964
2.455433760583401,0.5517
2.516318792104721,0.5427
2.7072059214115143,0.5268
2.395009437203407,0.5514
3.271077400445938,0.4651
2.786992555856705,0.5136
2.246308046579361,0.5532
2.7165122807025908,0.5182
2.608094358444214,0.5333
3.4894399762153627,0.4894
3.328514975309372,0.4842
3.3118399322032928,0.4966
3.26106578707695,0.4878
2.4587899476289747,0.5256
2.35242078602314,0.5535
2.710632562637329,0.5298
2.4400921285152437,0.5444
2.5303779393434525,0.5445
2.5292455434799193,0.5274
2.311289882659912,0.5613
2.26095227599144,0.5609
3.1396629452705382,0.4875
2.502873232960701,0.5358
3.3010656118392943,0.4662
2.3852406471967695,0.5349
2.481666851043701,0.5485
2.5354403227567675,0.5423
2.324292856454849,0.5584
2.4283854871988297,0.5425
2.2023691624403,0.5546
3.657349193096161,0.449
2.6173697605729105,0.5413
2.3408397257328035,0.5648
2.8944794803857805,0.5143
2.702320772409439,0.5276
2.783575701713562,0.5263
2.4655001938343046,0.5464
2.1737418174743652,0.4771
3.7902767598628997,0.4073
2.400056830048561,0.5117
2.5142744362354277,0.5063
2.6694584250450135,0.5124
2.191068744659424,0.5596
2.3791717767715452,0.5467
2.421066030859947,0.5422
2.753434270620346,0.532
2.2722482472658156,0.563
2.444645282626152,0.5432
2.396771088242531,0.5513
2.3501129120588304,0.5632
2.5978130280971525,0.5345
3.2651240527629852,0.5088
2.8902532696723937,0.514
2.5587664008140565,0.5426
2.630220875144005,0.5396
3.3088527262210845,0.5029
2.3593640685081483,0.5507
2.570003628730774,0.5384
2.6373190701007845,0.5346
2.9018509149551392,0.5229
2.6929533779621124,0.5239
2.525951159000397,0.5479
2.438524466753006,0.5593
2.5417260974645615,0.5655
3.0677821576595306,0.5053
2.6140358984470367,0.5483
2.5999448716640474,0.5324
2.5068399131298067,0.5442
2.575302839279175,0.5523
2.5709333300590513,0.5525
2.618849056959152,0.542
3.065071779489517,0.5208
2.5836048126220703,0.5584
3.4036792755126952,0.5044
3.0885380506515503,0.5188
2.703751045465469,0.5285
2.9899146795272826,0.5197
2.472331517934799,0.5487
2.4587656661868094,0.5653
3.002304309606552,0.5148
3.1027852296829224,0.5071
2.7319747895002364,0.5415
2.3293943136930464,0.5742
2.6059052526950834,0.5666
2.4446855962276457,0.5707
2.6209176063537596,0.5573
2.822496896982193,0.5555
3.049626439809799,0.5261
4.227581042051315,0.4508
3.218508446216583,0.4924
2.6572057366371156,0.543
2.9347693979740144,0.5123
2.5871828138828277,0.5445
2.855634504556656,0.527
3.54321149289608,0.4398
2.981286573410034,0.4832
3.4979292809963227,0.4645
2.6222114324569703,0.519
2.7018754959106444,0.5306
2.6001981616020204,0.5277
3.802126044034958,0.4485
2.303166264295578,0.5509
2.929821515083313,0.4991
2.7555874973535537,0.546
4.325708705186844,0.4249
4.465548896789551,0.4075
2.4803658604621885,0.4249
2.4672718167304994,0.478
