loss,accuracy
2.302724504470825,0.0865
2.2981623232364656,0.1
2.887024587392807,0.1686
2.524614429473877,0.1071
3.7226168155670165,0.129
2.4420949935913088,0.178
2.374536156654358,0.1888
2.553939610719681,0.1445
2.945008730888367,0.1637
2.769852375984192,0.165
2.380787456035614,0.1698
2.270591080188751,0.1811
2.3976896703243256,0.1862
2.336516189575195,0.2012
2.2769113004207613,0.2031
2.256088614463806,0.2026
2.5737619638442992,0.1811
2.7052527189254763,0.1577
2.394048535823822,0.1479
2.29507936835289,0.1571
3.2077997267246245,0.1912
2.2676902592182158,0.1948
2.5041311502456667,0.1996
2.255092942714691,0.21
2.2323352217674257,0.2183
2.1593855559825896,0.2033
2.1417703926563263,0.2042
2.665687531232834,0.1665
2.741482973098755,0.1703
2.46931009888649,0.1251
2.2570294201374055,0.156
2.1788764536380767,0.1727
2.1551446855068206,0.1676
2.24125959277153,0.2028
2.1753547877073287,0.2164
2.790291428565979,0.2303
2.4893553853034973,0.2334
2.3383763313293455,0.202
2.219364893436432,0.1929
2.2296205818653108,0.2012
2.1843826949596403,0.2097
2.178935760259628,0.2057
2.1774970471858976,0.217
2.1779388010501863,0.2239
2.3283019065856934,0.1312
3.0241402685642242,0.1809
2.3077438116073608,0.2039
2.3001524686813353,0.2012
2.332080215215683,0.1692
2.325073230266571,0.0998
2.3441172361373903,0.1066
2.3201488971710207,0.1179
2.306697744131088,0.1165
2.3042599141597746,0.1204
2.3045123636722566,0.12
2.3037813305854797,0.1158
2.3039735317230225,0.1162
2.304552459716797,0.116
2.303859752416611,0.1134
2.30438894033432,0.109
2.3042947113513947,0.114
2.304210567474365,0.114
2.304237550497055,0.1087
2.3038435161113737,0.1183
2.3040898501873017,0.1197
2.3060262322425844,0.1093
2.30441951751709,0.1076
2.326168930530548,0.1255
4.27428252696991,0.1075
2.30997519493103,0.1389
5.392949593067169,0.0896
2.3133341312408446,0.1078
2.3617756247520445,0.0979
2.306691998243332,0.1225
2.313298672437668,0.1277
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
