loss,accuracy
2.3027244806289673,0.0865
2.2981623291969298,0.1
2.8870245933532717,0.1686
2.5246144831180573,0.1071
3.7225006997585295,0.129
2.442094385623932,0.178
2.374541687965393,0.1888
2.553870952129364,0.1446
2.9358314096927645,0.1653
2.759309870004654,0.164
2.3817861497402193,0.1695
2.271376246213913,0.1799
2.3922761917114257,0.181
2.332732969522476,0.1962
2.2746514201164247,0.1989
2.2542421877384187,0.1973
2.5444405734539033,0.178
2.6772644758224486,0.1566
2.3289868235588074,0.156
2.2626185953617095,0.1603
3.3425789952278135,0.1878
2.2908014953136444,0.189
2.4938980102539063,0.2052
2.240548759698868,0.2136
2.2144738912582396,0.2229
2.1438372850418093,0.2033
2.122698348760605,0.2092
2.6626936972141264,0.1756
2.7658971428871153,0.1687
2.438782435655594,0.1366
2.22888543009758,0.1575
2.166302961111069,0.1721
2.1456711649894715,0.1686
2.306098276376724,0.2116
2.182130405306816,0.2248
2.901882588863373,0.1734
2.49954833984375,0.2034
2.287659215927124,0.212
2.2159128308296205,0.2
2.2267908573150637,0.2028
2.199185478687286,0.2057
2.195833683013916,0.2002
2.1934299170970917,0.2087
2.1924057066440583,0.213
2.3969270288944244,0.1038
3.589633494615555,0.1494
2.3936229169368746,0.1788
2.3563795506954195,0.1802
2.280957931280136,0.2028
2.3965898513793946,0.1305
2.3266537487506866,0.1403
2.338094824552536,0.1235
2.307710999250412,0.1342
2.30510755777359,0.133
2.303596180677414,0.1281
2.30630567073822,0.129
2.300618290901184,0.1361
2.296349459886551,0.145
2.3009219110012054,0.1544
2.284569275379181,0.1661
2.282908797264099,0.1623
2.2794566094875335,0.1667
2.440432631969452,0.1493
2.4180525124073027,0.1219
2.3035266637802123,0.1203
2.3030978202819825,0.1192
2.303365778923035,0.1189
2.302475941181183,0.1503
2.305196690559387,0.1292
2.304776632785797,0.1353
3.737962430715561,0.1002
2.305270826816559,0.1145
2.3175496101379394,0.1201
2.321173310279846,0.1197
2.3244701385498048,0.1195
2.3026242911815644,0.1269
2.302750515937805,0.1265
2.3028075337409972,0.1274
2.303373581171036,0.1309
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
,0.1
