loss,accuracy
2.3952263057231904,0.1659
2.1447301298379897,0.2046
2.3241245627403258,0.2408
2.5369457244873046,0.2164
2.1154245167970656,0.2913
1.9163643926382066,0.3621
1.8920694410800933,0.3681
2.197668749094009,0.3248
1.9565002977848054,0.3519
2.172824904322624,0.3324
1.8460673838853836,0.376
1.9612329095602035,0.3677
1.8622598946094513,0.3682
1.952301126718521,0.3839
1.6995749115943908,0.4272
2.051585558056831,0.3555
1.681389182806015,0.4295
2.317385858297348,0.3512
1.7654137402772903,0.4255
2.1697438210248947,0.3673
1.6777030259370804,0.4517
1.928994581103325,0.3904
1.823662519454956,0.427
2.172658821940422,0.373
1.939797779917717,0.3988
1.860593032836914,0.4261
1.709266546368599,0.452
1.8493613630533219,0.4305
1.9203063249588013,0.4188
3.1320947766304017,0.3168
2.015075597167015,0.4008
1.6342511475086212,0.4678
1.7362076461315155,0.459
1.9777068763971328,0.4402
1.7553856909275054,0.4558
1.652488785982132,0.4754
1.7038103997707368,0.4755
2.113437643647194,0.4245
1.993603417277336,0.4257
1.8658288329839707,0.4519
1.8616520881652832,0.4523
2.2594848573207855,0.407
2.1515784472227097,0.4244
1.6260897904634475,0.4742
1.8734794318675996,0.4551
2.137965074181557,0.4116
2.450794506072998,0.3691
1.75182084441185,0.4686
1.7509846925735473,0.4692
1.7491232007741928,0.4632
2.452716755867004,0.3913
2.0006590604782106,0.4527
2.160297214984894,0.4367
1.7143733352422714,0.4996
2.3182695537805555,0.3951
1.7729223191738128,0.469
2.0653773665428163,0.4444
1.9142693072557448,0.4488
1.8845666170120239,0.4654
1.7641177147626876,0.5007
2.2723303377628326,0.4483
1.9108927518129348,0.475
1.7171105593442917,0.4938
1.7453823566436768,0.4799
2.1642872482538222,0.4136
1.7461857110261918,0.4891
1.9444265633821487,0.4852
1.93996362388134,0.4925
1.9827883452177049,0.4666
2.0665971368551252,0.4399
2.313616913557053,0.4048
2.085127267241478,0.4248
2.081439644098282,0.426
2.1051366478204727,0.4412
1.77166668176651,0.4945
1.9260233402252198,0.4822
1.7847349405288697,0.4859
1.8831512540578843,0.478
2.1284022599458696,0.4451
1.7738610237836838,0.4925
1.5600513577461244,0.5263
1.9537211656570435,0.4705
2.0397569686174393,0.4831
1.8759924739599227,0.4929
1.7193732142448426,0.507
1.8160043001174926,0.4925
1.9861140638589858,0.4666
1.6836878567934037,0.4911
1.9483392387628555,0.4808
2.5941107332706452,0.3929
2.29489461183548,0.4479
1.8934020459651948,0.5002
1.829257071018219,0.4986
2.1545975387096403,0.443
2.1956459492444993,0.4334
1.8581056326627732,0.4836
1.6776099890470504,0.5188
2.07605202794075,0.4671
1.987845215201378,0.476
1.8399268239736557,0.5098
2.2726549237966536,0.4668
2.130887421965599,0.462
1.8642601281404496,0.4827
2.137332630157471,0.4578
2.1502707242965697,0.4715
2.1588044583797457,0.4564
1.7143070578575135,0.5134
1.7278951585292817,0.4964
1.7565860748291016,0.5109
1.8214673161506654,0.4845
2.070408982038498,0.4634
2.0077567040920257,0.4733
2.222802224755287,0.4549
1.915655744075775,0.5055
1.9268793910741806,0.509
2.277645266056061,0.4777
2.4560445606708527,0.4256
2.247336798906326,0.4703
1.8391487002372742,0.5193
2.0161065816879273,0.4824
2.0504842042922973,0.4753
1.7188549190759659,0.5142
2.1001528054475784,0.4834
1.7743234395980836,0.5354
1.7473852246999741,0.5295
1.7840899407863617,0.5264
2.282611572742462,0.4685
2.188704639673233,0.4651
2.2581144690513613,0.4628
2.21955646276474,0.4706
1.8519237220287323,0.5199
2.0153169840574265,0.508
2.3596530884504316,0.4563
2.5772938251495363,0.4297
1.9393716484308243,0.5135
2.428264558315277,0.459
1.731218159198761,0.5323
2.1125570446252824,0.4823
2.019474428892136,0.518
1.9815130680799484,0.5117
2.658007925748825,0.4481
2.8432818233966826,0.4188
2.629293817281723,0.456
1.8913453549146653,0.5099
2.076260954141617,0.4952
2.0070518881082533,0.4945
1.7888690739870072,0.5296
2.2657292395830155,0.4678
2.6356295883655547,0.4277
1.9909001871943475,0.5113
2.001522037386894,0.5195
2.014537563920021,0.5237
2.13270842730999,0.504
1.9331465661525726,0.5146
2.1207985073328017,0.498
2.689830780029297,0.4535
1.9151081264019012,0.5259
2.287816175818443,0.4714
2.1131289422512056,0.5065
1.8898854166269303,0.5243
2.349569696187973,0.4846
1.9709928274154662,0.5249
2.1416443049907685,0.4959
2.16192090511322,0.493
2.23460613489151,0.492
2.3124793380498887,0.4847
2.1974998682737352,0.507
2.2719628632068636,0.5042
2.4751395881175995,0.4573
1.9456767678260802,0.5194
2.0867237955331803,0.5046
2.1457713693380356,0.4875
2.1189317792654037,0.4935
2.091455030441284,0.5022
2.3421908795833586,0.493
1.9266728073358537,0.5332
1.899966797232628,0.5376
2.002150481939316,0.5229
2.5058392941951753,0.4551
2.020460197329521,0.5267
2.1927685856819155,0.507
2.2551778852939606,0.4919
1.8958795994520188,0.5466
2.402164900302887,0.4751
2.2877727448940277,0.505
1.9738120168447495,0.5355
2.2406225323677065,0.4918
2.3992505371570587,0.4955
3.42389463186264,0.4164
2.423085558414459,0.5025
2.482230481505394,0.4964
2.575047326087952,0.4758
2.070955070853233,0.5315
2.0018318027257918,0.5343
2.536170619726181,0.4865
2.0638578116893767,0.5202
2.0632749289274215,0.5288
2.2152651369571688,0.504
1.9770015865564345,0.5337
1.8632142066955566,0.5483
2.433913993835449,0.4889
2.0046685129404067,0.5383
2.589235079288483,0.4737
2.0014624804258347,0.5305
2.299070107936859,0.5094
2.100022256374359,0.5282
2.005961334705353,0.5427
1.9306361258029938,0.5357
2.0835067719221114,0.5091
2.764043074846268,0.4333
2.3318503677845,0.4918
2.110855495929718,0.5301
2.7310496389865877,0.4485
2.3776037454605103,0.496
2.3133599042892454,0.5145
1.9470236599445343,0.5356
1.8612333148717881,0.5471
2.9274424612522125,0.4351
2.0130173563957214,0.5354
2.142794671654701,0.522
2.168907654285431,0.5199
1.9712422996759416,0.5504
2.097977656126022,0.5273
2.0955704003572464,0.535
2.2442871987819673,0.5207
2.0019134670495986,0.5405
2.1098137199878693,0.5221
2.1411435902118683,0.5168
1.9051249414682387,0.5455
2.170221212506294,0.5108
2.222699925303459,0.5066
2.1902121007442474,0.5153
2.1964777052402495,0.51
2.0294612795114517,0.5417
2.328338232636452,0.5192
1.9346994549036025,0.547
1.9706465572118759,0.54
2.2662984251976015,0.4954
2.000906100869179,0.5369
2.2052465707063673,0.5102
2.2177471935749056,0.51
1.9444913536310195,0.5462
2.1178535521030426,0.5322
2.2085830509662627,0.5172
2.1744255304336546,0.5341
2.1608882516622545,0.5139
2.1410091489553453,0.5238
2.1598170340061187,0.5304
2.1296218186616898,0.5321
2.2677600175142287,0.5047
2.358829382061958,0.5086
2.0573382556438444,0.5484
2.436439687013626,0.4945
2.4449694991111754,0.4957
2.121054118871689,0.515
2.4011446952819826,0.4906
2.086114540696144,0.5353
1.9850408993661404,0.5496
2.4397380530834196,0.5021
2.398515319824219,0.5031
2.192430502176285,0.5361
1.8527726799249649,0.5598
2.101985493302345,0.5486
2.155947706103325,0.5196
2.0848349779844284,0.5382
2.323571503162384,0.5233
2.203158375620842,0.5322
2.516397851705551,0.4951
2.3002389430999757,0.5033
2.1367710530757904,0.5355
2.209039917588234,0.5244
2.1759583353996277,0.5364
2.2361257314682006,0.5226
2.3253660559654237,0.5011
2.4674469113349913,0.4816
2.686041885614395,0.4824
2.2311924368143083,0.5126
2.215182292461395,0.5244
2.3990664422512054,0.5022
2.31412855386734,0.4995
1.9696810960769653,0.5553
2.606566047668457,0.4815
2.2788928776979445,0.5334
2.9934604108333587,0.4532
2.832216650247574,0.4634
2.0844394624233247,0.5396
2.3640083342790605,0.5096
2.2704678386449815,0.5314
2.1172558695077894,0.5421
2.0383185774087904,0.5513
2.4825587272644043,0.5193
2.2134441882371902,0.5333
2.148512268066406,0.5384
2.2708996132016184,0.5249
1.9672564834356308,0.5474
2.317718914151192,0.527
2.8325121104717255,0.4728
2.300797814130783,0.518
2.2407812654972075,0.5258
2.120390373468399,0.5358
