loss,accuracy
2.303021949529648,0.084
2.300424098968506,0.1087
2.5432043433189393,0.1052
2.4873965084552765,0.1
3.0493957579135893,0.1599
2.61972433924675,0.1814
2.4750525057315826,0.1683
3.743421471118927,0.1056
3.128563737869263,0.1544
3.1050686657428743,0.1778
2.523877191543579,0.1917
2.353437936306,0.1759
2.9167829930782316,0.1873
2.542944538593292,0.1947
2.359959477186203,0.202
2.2639588713645935,0.211
3.2258659958839417,0.1768
3.071655547618866,0.1506
2.837513619661331,0.1922
2.445869928598404,0.2351
3.1242593109607695,0.2011
2.45099818110466,0.216
3.125561219453812,0.2281
2.474716681241989,0.2265
2.31726079583168,0.2264
2.1376476526260375,0.234
2.104235661029816,0.2239
2.904398000240326,0.1585
3.199421900510788,0.2279
2.283871591091156,0.2336
2.121381175518036,0.283
2.012267753481865,0.2816
2.019362688064575,0.2644
2.7220623075962065,0.2311
2.2195252895355226,0.2645
2.805737966299057,0.2486
2.3729941099882126,0.2601
3.0274722933769227,0.2574
2.250936931371689,0.2579
2.17856969833374,0.2571
2.028368279337883,0.2683
2.014294070005417,0.2941
1.9807035714387893,0.3027
1.9826163679361344,0.2967
2.6410654485225677,0.1589
2.7316390752792357,0.2648
2.178821784257889,0.2681
2.0316582769155502,0.2745
1.9278159081935882,0.3166
2.6792222559452057,0.2543
2.109971934556961,0.2712
2.376270407438278,0.1782
1.9920412391424178,0.2408
1.902792540192604,0.3038
1.88109410405159,0.3066
1.875705572962761,0.3011
1.8581379175186157,0.3309
1.8516768962144852,0.3205
1.8511195749044418,0.3117
1.8575368523597717,0.3208
1.8499872654676437,0.3432
1.8293562173843383,0.3525
1.8678058385849,0.3287
1.8654785245656966,0.3158
1.8252007901668548,0.3519
1.8708519160747528,0.3149
1.866072988510132,0.3142
2.610616260766983,0.2614
3.198020488023758,0.117
2.0355563044548033,0.2476
3.352706229686737,0.138
1.9816293001174927,0.264
2.5370371460914614,0.2808
2.058457154035568,0.2889
1.9262807011604308,0.3103
2.675230270624161,0.2804
2.1340794622898103,0.2931
1.8698114931583405,0.3454
1.8658478617668153,0.3326
2.8172279834747314,0.1817
1.7779222488403321,0.3588
1.7654358625411988,0.3579
1.7591687977313994,0.3647
1.755359771847725,0.3627
2.588043934106827,0.2144
3.463795620203018,0.1646
2.0882373631000517,0.2365
2.9654477775096892,0.2028
3.1108726501464843,0.1793
2.597564768791199,0.2236
1.8476271331310272,0.3354
1.7887495934963227,0.3484
2.324680471420288,0.3094
2.7801314890384674,0.2251
2.027692458033562,0.3033
1.8565945118665694,0.3214
1.7242065399885178,0.3822
2.18454686999321,0.2367
3.7240140974521636,0.1568
1.9892841130495071,0.2716
2.554518401622772,0.2148
1.7920419812202453,0.3538
2.5884577572345733,0.2966
2.087107649445534,0.3012
1.905345657467842,0.3194
1.7497654974460601,0.3665
1.755971196293831,0.3646
2.695753502845764,0.2968
2.14920491874218,0.2886
2.544224977493286,0.236
2.934534502029419,0.2848
2.13325098156929,0.3027
1.829303577542305,0.3348
1.7225120306015014,0.3698
2.993913692235947,0.2991
2.473629021644592,0.2908
2.109823393821716,0.3113
1.9698269009590148,0.3274
1.7650738179683685,0.3638
1.7403592258691787,0.3891
1.702587017416954,0.3986
1.6818581521511078,0.3925
1.6814708858728409,0.3899
3.718150407075882,0.1609
1.7318448007106781,0.375
1.6439950913190842,0.4111
1.6605838388204575,0.4025
1.6552112221717834,0.4067
2.68895565867424,0.2975
1.9071895152330398,0.329
1.7083124339580535,0.3777
1.765613865852356,0.3559
1.696931827068329,0.3885
1.6405024260282517,0.4089
1.8889510065317154,0.3332
3.301526015996933,0.1646
2.4794005036354063,0.3035
1.9224950551986695,0.3648
1.8153734892606734,0.3885
1.7600835531949997,0.404
1.6655224859714508,0.4032
1.7114776521921158,0.3924
1.6431147366762162,0.4013
1.646309143304825,0.4056
1.8205656379461288,0.3479
1.672991892695427,0.3872
1.6353806883096695,0.3998
3.5171155393123628,0.1701
1.91289781332016,0.3289
2.93185116648674,0.2966
2.17991846203804,0.3183
1.8327457010746002,0.3496
2.4854803323745727,0.3068
1.9250734388828277,0.341
2.8001915574073792,0.2578
1.9891809225082397,0.3377
1.7476618587970734,0.3819
1.650207021832466,0.4073
1.6808447927236556,0.3891
1.6143820941448213,0.4175
1.583511519432068,0.4283
1.6270399868488312,0.4177
1.5988105654716491,0.4293
1.6383392482995986,0.4174
1.6154163300991058,0.4167
1.5993930727243424,0.4302
1.6084400922060014,0.4163
3.303208941221237,0.1923
2.8233497381210326,0.2344
2.769841343164444,0.2264
