loss,accuracy
2.3848253071308134,0.1
2.352009242773056,0.1
2.399317795038223,0.1607
2.480502665042877,0.1
2.5151903569698333,0.1504
2.2484240889549256,0.1982
2.1932153701782227,0.2124
2.3050466895103456,0.1424
2.2954208612442017,0.1875
2.2333840012550352,0.2203
2.2068026840686796,0.2065
2.2061412215232847,0.1828
2.017277467250824,0.2698
2.088980880379677,0.2653
2.054020866751671,0.2072
2.154949873685837,0.2474
1.8988904446363448,0.3066
2.3873640418052675,0.2226
1.9850635766983031,0.2831
2.1776585638523103,0.2335
1.83768250644207,0.3196
1.9311732560396195,0.2813
1.844139462709427,0.3232
2.158548426628113,0.2221
2.097865578532219,0.2222
1.8562537550926208,0.2952
1.8195874303579331,0.3335
2.046348550915718,0.2605
1.886828860640526,0.287
2.3603629589080812,0.22
2.0326243162155153,0.2699
1.648855698108673,0.4081
1.6824642986059188,0.3964
1.7010109782218934,0.3771
1.7344714403152466,0.3741
1.6917860865592957,0.3812
1.7637496620416642,0.3431
2.0325162559747696,0.2798
2.0952807515859604,0.2729
1.7882294654846191,0.3509
1.8907343417406082,0.3205
2.0354724317789077,0.288
1.6676730155944823,0.3811
1.6153955996036529,0.4135
1.6889456629753112,0.3941
1.9203266650438309,0.3007
2.3233979284763335,0.2694
1.6204968094825745,0.4006
1.5994375705718995,0.4069
1.7025590807199478,0.3666
2.6042344868183136,0.2054
1.8698109298944474,0.3163
2.036719012260437,0.2922
1.602984881401062,0.407
1.9374186038970946,0.3202
1.6782259672880173,0.3782
1.7839239567518235,0.3513
1.7896844923496247,0.3476
1.6366918981075287,0.4146
1.5468580156564713,0.4383
1.843623897433281,0.3779
1.710992193222046,0.3718
1.5543074697256087,0.4385
1.598578256368637,0.4225
2.0164013385772703,0.2834
1.6449310570955276,0.4065
1.6210920363664627,0.4107
1.6206123918294906,0.4224
1.7445730894804001,0.3793
1.7379434168338777,0.3749
1.846034899353981,0.3478
1.7028363525867463,0.3838
1.9596143931150436,0.3289
1.8303194612264633,0.3557
1.515293139219284,0.4584
1.62956805229187,0.4025
1.544770637154579,0.4287
1.5241391330957412,0.4503
1.7448242992162704,0.3878
1.5725328266620635,0.4101
1.5023122280836105,0.4584
1.59123754799366,0.4144
1.6694934397935868,0.4089
1.6291243225336074,0.4139
1.4778084635734559,0.474
1.604858288168907,0.4241
1.641721472144127,0.3889
1.5072467118501662,0.4598
1.5754868894815446,0.4244
2.1085893511772156,0.2991
2.037666580080986,0.3204
1.6054422080516815,0.4377
1.611524024605751,0.411
1.7484456032514573,0.3732
1.7366938531398772,0.3721
1.7011564701795578,0.3937
1.4744538158178329,0.4722
1.6816594898700714,0.412
1.5494393944740295,0.4246
1.5295816004276275,0.4318
1.6985645711421966,0.3996
1.6637154966592789,0.4155
1.5950908750295638,0.4207
1.543744283914566,0.437
1.59633469581604,0.4319
1.7234592497348786,0.3706
1.4455688059329987,0.4762
1.5567896097898484,0.4364
1.4797151237726212,0.4687
1.6250276565551758,0.4139
1.745784342288971,0.3973
1.6422730684280396,0.4231
1.86127550303936,0.3558
1.4837912440299987,0.4571
1.4986913204193115,0.4539
1.734445536136627,0.3949
1.9582822769880295,0.3471
1.6244101583957673,0.425
1.4690708428621293,0.4782
1.7871479928493499,0.3886
1.6103786885738374,0.4137
1.4560020685195922,0.4691
1.5924685806035996,0.4436
1.401546335220337,0.492
1.3369750052690506,0.5245
1.3269516080617905,0.5244
1.7659529626369477,0.3892
1.4948005378246307,0.4566
1.640047061443329,0.4228
1.6083222001791,0.4316
1.4909168988466264,0.4669
1.3974305808544158,0.4977
1.4716359704732895,0.4556
1.7565389186143876,0.3744
1.457480564713478,0.4686
1.6823641628026962,0.3945
1.3278083592653274,0.5237
1.5055780202150344,0.4456
1.4854080229997635,0.4756
1.4066438615322112,0.4946
1.9344896793365478,0.3315
1.8243799537420273,0.3644
1.665374618768692,0.42
1.4606579393148422,0.4714
1.5054232984781266,0.4648
1.4021172106266022,0.4881
1.3178036332130432,0.5446
1.6089798629283905,0.4222
1.5796424120664596,0.4372
1.4084713757038116,0.5016
1.3432663023471831,0.5287
1.500744530558586,0.4587
1.385018637776375,0.5177
1.5127230316400528,0.4589
1.5286243200302123,0.469
1.8081454008817672,0.3956
1.2926331534981728,0.5261
1.549229684472084,0.4415
1.4406050741672516,0.4913
1.4779337793588638,0.4842
1.5387830138206482,0.4311
1.4028497904539108,0.4958
1.4277952849864959,0.4771
1.5041416466236115,0.462
1.534948867559433,0.4587
1.4997776001691818,0.4714
1.4638788759708405,0.4983
1.4815716028213501,0.4881
1.5130487114191056,0.4664
1.3245447352528572,0.5204
1.5002734273672105,0.4686
1.4698439121246338,0.4712
1.3372468486428262,0.5116
1.378131166100502,0.5127
1.5315139591693878,0.4756
1.333274781703949,0.5321
1.2580088913440703,0.5576
1.4320840686559677,0.4864
1.4869223833084106,0.4778
1.2700424194335938,0.5445
1.5145630478858947,0.4767
1.4790980875492097,0.4801
1.2433981150388718,0.5532
1.5727758049964904,0.4287
1.3994096636772155,0.5109
1.2974827319383622,0.5352
1.3694642156362533,0.5104
1.5563492149114608,0.4567
2.3214301854372024,0.3202
1.359799638390541,0.5197
1.4473933070898055,0.4988
1.7897308796644211,0.3989
1.3911676317453385,0.5094
1.290650913119316,0.5446
1.6396417200565339,0.452
1.3758778065443038,0.5083
1.3270292043685914,0.5281
1.449572917819023,0.4941
1.2972225666046142,0.5426
1.2179951876401902,0.5693
1.6579095810651778,0.4319
1.261114490032196,0.5589
1.5773895144462586,0.4691
1.3101588577032088,0.5374
1.3410486221313476,0.5346
1.2746348202228546,0.5475
1.2885762304067612,0.5445
1.2545015901327132,0.5637
1.369773930311203,0.5265
1.6002136170864105,0.4468
1.5354244858026505,0.4731
1.2736449241638184,0.5506
1.5796995520591737,0.4634
1.3762965500354767,0.5185
1.6058797538280487,0.4624
1.3399391949176789,0.5366
1.2414950862526895,0.5641
1.6752523720264434,0.4142
1.2941686302423476,0.5419
1.3579109519720078,0.5151
1.3585954129695892,0.5257
1.206232264637947,0.5772
1.3164038151502608,0.5378
1.3363655358552933,0.5302
1.2964614629745483,0.5513
1.2640499740839004,0.5582
1.2050545185804367,0.5804
1.4448420435190201,0.5104
1.2424063101410865,0.5564
1.3883488327264786,0.5023
1.3775908380746842,0.5251
1.31807242333889,0.5382
1.3646599233150483,0.5213
1.232576736807823,0.5563
1.4126200705766678,0.5132
1.2695016354322433,0.564
1.2439596742391585,0.5609
1.4644535034894943,0.5074
1.157791432738304,0.5933
1.2499721825122834,0.5564
1.47707160115242,0.4968
1.2753617942333222,0.5588
1.4029949098825454,0.5182
1.2763651072978974,0.5537
1.3803118020296097,0.5336
1.418449342250824,0.4992
1.2933967381715774,0.5514
1.277710524201393,0.5638
1.2732085525989532,0.5569
1.4041469722986222,0.5103
1.4326347425580024,0.4941
1.1995813861489295,0.5796
1.3069483548402787,0.5453
1.3882010579109192,0.5221
1.2641058892011643,0.5568
1.3915041744709016,0.5145
1.2080196753144263,0.5749
1.19284830391407,0.574
1.5022034704685212,0.4935
1.4336670607328414,0.4968
1.245202200114727,0.558
1.1434702426195145,0.6019
1.241210326552391,0.5725
1.369275826215744,0.5241
1.2436283886432649,0.5632
1.5188000977039338,0.4981
1.3125087350606919,0.5459
1.2867786496877671,0.5503
1.243415704369545,0.5642
1.4820636332035064,0.5008
1.2982686936855317,0.5554
1.266071116924286,0.5651
1.3418955326080322,0.5444
1.2507760852575303,0.5671
1.409320703148842,0.5129
1.6466103076934815,0.4652
1.371768093109131,0.5308
1.282405599951744,0.5651
1.2428767442703248,0.5702
1.2276433899998664,0.575
1.2307037144899369,0.5721
1.56984121799469,0.4852
1.4381299585103988,0.5181
1.5900029122829438,0.4535
1.6050874769687653,0.4597
1.2441814213991165,0.5789
1.3082674503326417,0.5498
1.2760261833667754,0.5662
1.374019506573677,0.5322
1.2350225299596786,0.5705
1.3319485872983932,0.5429
1.2437175273895265,0.5625
1.2697208911180495,0.5622
1.2751141428947448,0.5708
1.246403741836548,0.5693
1.3774299204349518,0.5369
1.5080786138772964,0.5054
1.2827941983938218,0.5572
1.303280994296074,0.5511
1.1468184754252433,0.5959
