loss,accuracy
2.303026574850082,0.0842
2.3004549622535704,0.1092
2.4674061119556425,0.1025
2.447038871049881,0.1
2.93275933265686,0.1605
2.5877664148807527,0.1809
2.460373932123184,0.1639
3.5341839373111723,0.1027
2.9583617746829987,0.1487
3.0030300080776215,0.1733
2.4574915051460264,0.1873
2.3197174072265625,0.1751
2.8159440398216247,0.1769
2.4673381388187408,0.1856
2.31161373257637,0.1956
2.2312078416347503,0.2079
3.086060470342636,0.1698
3.132165628671646,0.1411
2.785152626037598,0.1901
2.404728078842163,0.2352
2.9412549793720246,0.1924
2.3790415704250334,0.2085
2.979695987701416,0.2207
2.3949098169803618,0.2213
2.2585347175598143,0.2235
2.113598573207855,0.227
2.0954458504915237,0.2209
2.9343079388141633,0.1528
3.0001516938209534,0.2178
2.295545983314514,0.2189
2.1119905531406404,0.2764
2.01578674018383,0.285
2.027925029397011,0.2588
2.667745965719223,0.218
2.1781618297100067,0.2632
2.6925611317157747,0.2423
2.2851372003555297,0.2509
2.8959402620792387,0.2491
2.1927152991294863,0.2498
2.144091272354126,0.2497
2.0132048785686494,0.273
2.023388448357582,0.2846
1.9856862008571625,0.2962
1.9903791308403016,0.2882
2.6207558512687683,0.1577
2.6189711689949036,0.2543
2.1136197417974474,0.2599
1.9857910364866256,0.2724
1.9489255160093308,0.2969
2.535017657279968,0.248
2.0452031910419466,0.2626
2.46482190489769,0.1738
1.9923295587301255,0.2426
1.9119664043188096,0.3026
1.899576985836029,0.2993
1.8990040391683578,0.2918
1.8910989195108414,0.3245
1.8862916558980942,0.3041
1.8868362426757812,0.2985
1.889502090215683,0.3091
1.886866557598114,0.3242
1.859792995452881,0.3406
1.90503271818161,0.3123
1.9087723731994628,0.3028
1.858322948217392,0.3391
1.912321111559868,0.3032
1.9057549268007279,0.2955
2.5372134149074554,0.2532
3.150129872560501,0.1137
2.0193051606416703,0.2464
3.2895272970199585,0.1351
1.9708554953336717,0.2697
2.4678968608379366,0.2754
2.0301992923021315,0.2912
1.922951203584671,0.31
2.6024325489997864,0.2748
2.0949122846126556,0.2863
1.866856923699379,0.3495
1.8855220317840575,0.3202
2.776139807701111,0.1781
1.803577008843422,0.3497
1.8022592663764954,0.3436
1.7926594913005829,0.3528
1.7911849409341811,0.3525
2.607636433839798,0.2101
3.434881752729416,0.1634
2.0883312195539476,0.2418
2.973606288433075,0.1976
3.086886149644852,0.1757
2.6081081449985506,0.2191
1.875612798333168,0.3288
1.8170318245887755,0.3402
2.2471064150333406,0.3067
2.724923515319824,0.2212
2.0059419542551042,0.2941
1.9041821151971816,0.3062
1.761541873216629,0.372
2.1959026515483857,0.2323
3.577265566587448,0.16
1.9565860688686372,0.2819
2.569174313545227,0.2122
1.8090327262878418,0.3472
2.448487275838852,0.2887
2.0158669739961623,0.3046
1.8688816875219345,0.3259
1.7564839392900466,0.373
1.7808744698762893,0.3544
2.526204550266266,0.2896
2.06277320086956,0.2843
2.52505162358284,0.2288
2.706766849756241,0.2746
2.032584050297737,0.3028
1.7856305152177812,0.3504
1.712911930680275,0.3801
2.720431977510452,0.2886
2.2849927484989165,0.2861
1.995510771870613,0.3092
1.9051684021949769,0.3286
1.7546297758817673,0.3642
1.7558821052312852,0.378
1.7219542205333709,0.3882
1.6960690438747406,0.3888
1.7086049258708953,0.3772
3.5900807678699493,0.1609
1.7237856894731522,0.3835
1.6620597749948502,0.4075
1.6898869335651399,0.392
1.6854815810918808,0.3913
2.527320396900177,0.2931
1.8415352612733842,0.3329
1.6932852804660796,0.3897
1.756151720881462,0.3577
1.7044887751340867,0.3877
1.6599724650382996,0.4056
1.8832421720027923,0.3314
3.118914157152176,0.1629
2.3869836628437042,0.302
1.8853727102279663,0.3716
1.8062509775161744,0.3858
1.7581608235836028,0.3988
1.6685669273138046,0.4009
1.7244181662797928,0.3888
1.6558245092630386,0.3981
1.661567485332489,0.4021
1.8571449786424636,0.3314
1.6976578265428544,0.377
1.6592233389616013,0.3873
3.4362877726554872,0.1664
1.9316783040761947,0.3221
2.6816108226776123,0.2923
2.052870810031891,0.3188
1.77678641974926,0.3602
2.3371651649475096,0.2989
1.8763018757104875,0.3391
2.6911746859550476,0.2433
1.9335973411798477,0.336
1.7217645406723023,0.3881
1.6442510426044463,0.411
1.6900256812572478,0.3827
1.6376922130584717,0.4092
1.6012525618076325,0.4237
1.660431107878685,0.4029
1.622731825709343,0.4221
1.6710289150476456,0.4051
1.6463607251644135,0.407
1.625165542960167,0.4179
1.6371692210435866,0.4045
3.1565118968486785,0.189
2.741466647386551,0.2356
2.703979504108429,0.2189
3.020360505580902,0.2159
1.707306706905365,0.38
2.6636541545391084,0.205
3.4237204134464263,0.1832
1.8629743784666062,0.344
1.7448078364133834,0.3734
1.6052791804075242,0.4224
1.6179281920194626,0.417
1.6258835941553116,0.4101
1.6144261300563811,0.4176
1.5824028998613358,0.427
1.6065931230783463,0.4227
1.6120762586593629,0.4182
2.5534090876579283,0.3168
2.0233552783727644,0.3279
2.482839971780777,0.3096
1.8225306183099748,0.3656
1.7107663214206696,0.3914
1.6422629922628402,0.4059
1.5991874605417251,0.4216
1.5825371235609054,0.4321
1.6115338593721389,0.4204
2.255917543172836,0.325
2.5461257696151733,0.3156
1.93053959608078,0.3623
1.699001196026802,0.3887
2.6683748960494995,0.2129
1.758815398812294,0.372
2.3982116997241976,0.32
2.2458780169487,0.3085
2.0521124631166456,0.3315
1.6687746524810791,0.4005
2.70007261633873,0.2222
1.7207387059926986,0.3916
1.7031075924634933,0.3968
1.6504265695810318,0.4143
1.7467012763023377,0.3731
1.8834397435188293,0.3522
1.6725430756807327,0.3985
4.132783818244934,0.1161
1.6567114174365998,0.4037
1.6034766525030135,0.4216
2.32919420003891,0.2825
1.6856544107198714,0.3942
1.6581551522016524,0.4125
2.173773890733719,0.2831
2.5038530588150025,0.3042
2.4922023713588715,0.3173
1.849670273065567,0.3804
1.745789247751236,0.4013
2.4847868978977203,0.232
1.6257213205099106,0.4185
1.653586545586586,0.4144
2.354137736558914,0.3136
2.8594318449497225,0.2021
2.377232238650322,0.3297
1.8502251267433167,0.3741
2.1732145249843597,0.3555
1.7047204792499542,0.4055
1.65733602643013,0.4198
1.680485364794731,0.4066
1.6024740487337112,0.4296
1.7003174483776093,0.406
1.5825678676366806,0.4387
1.5965590357780457,0.4355
2.6751271188259125,0.2311
1.6823536157608032,0.4074
2.5581096708774567,0.3335
1.7448540866374969,0.4027
1.632963666319847,0.4241
2.3934234738349915,0.2757
2.543398344516754,0.2435
1.6701820015907287,0.4008
1.610680167376995,0.4182
3.041220450401306,0.2005
1.6281810134649277,0.4154
1.6335685044527053,0.4134
1.650477835536003,0.4147
1.720868209004402,0.3948
1.6213460505008697,0.4259
2.4200122237205504,0.3249
2.657940548658371,0.2678
2.532427614927292,0.3137
1.870769539475441,0.3811
2.679203200340271,0.2286
1.686253583431244,0.4119
1.9967247277498246,0.3628
1.6764859825372695,0.4136
4.009626489877701,0.1768
1.6605063319206237,0.4164
2.469489872455597,0.326
2.1980367243289947,0.3538
1.7960055023431778,0.3958
1.6170858323574067,0.4263
1.583828341960907,0.4395
1.6081076368689537,0.4307
1.5662096828222274,0.4369
2.4787151128053666,0.3293
2.7378051936626435,0.2765
1.8447664648294448,0.388
1.6270267874002458,0.4333
1.613807162642479,0.4244
1.7805315762758256,0.396
1.6599693804979325,0.4309
1.6238443106412888,0.4342
3.364356815814972,0.2143
2.210261473059654,0.3132
1.5871290907263755,0.4335
2.811911916732788,0.2634
1.6421320110559463,0.4229
2.4699660301208497,0.3293
1.7692567735910416,0.4131
1.647372043132782,0.4251
1.637980568408966,0.4251
1.8648289680480956,0.3725
1.6480214536190032,0.43
1.5783187389373778,0.442
1.5772349387407303,0.4417
3.0026626527309417,0.2279
1.6736645847558975,0.4224
2.138908189535141,0.3832
3.007340282201767,0.3122
1.7319151699542998,0.4103
1.9153109401464463,0.3727
2.1195859879255297,0.3347
1.6490377694368363,0.4356
1.9248477220535278,0.3739
1.6473745822906494,0.4429
1.5927874952554704,0.4481
2.5876070618629456,0.2748
