loss,accuracy
2.2886928737163545,0.1578
2.2267508685588835,0.1963
2.1820086419582365,0.1796
2.133775156736374,0.1958
2.080128586292267,0.2366
2.0270752191543577,0.2895
2.0088725656270983,0.2754
1.9913069486618042,0.2721
1.9431900948286056,0.3034
1.8683661967515945,0.3261
1.8485901087522507,0.3342
1.831574708223343,0.3369
1.8229702144861222,0.3294
1.8006632298231124,0.357
1.7622374653816224,0.3705
1.7435635834932328,0.3831
1.7227567851543426,0.3852
1.6774656385183335,0.3964
1.679874587059021,0.3992
1.6798602879047393,0.3877
1.6704281002283097,0.3951
1.66429201066494,0.3828
1.618243482708931,0.4177
1.65907564163208,0.3886
1.5746187031269074,0.4315
1.59723641872406,0.4269
1.5656422138214112,0.4361
1.5972782284021378,0.4224
1.5452793389558792,0.4453
1.5270752131938934,0.454
1.5633355230093002,0.4386
1.5253314673900604,0.4541
1.5361750245094299,0.4377
1.4848568111658096,0.4732
1.5209989219903945,0.4336
1.5102922827005387,0.4579
1.5139340609312057,0.4551
1.4789674878120422,0.4697
1.477702295780182,0.4724
1.5036930233240127,0.4491
1.4478545516729355,0.4719
1.4382461041212082,0.4811
1.431309598684311,0.4804
1.4416354447603226,0.4829
1.4355131715536118,0.4828
1.4424232363700866,0.4813
1.4212693691253662,0.4917
1.4865345776081085,0.4566
1.410803496837616,0.4981
1.4112432301044464,0.4892
1.4311871975660324,0.4778
1.3870985805988312,0.5112
1.4069155782461167,0.4951
1.4165001511573792,0.4868
1.369316253066063,0.5085
1.395653450489044,0.4928
1.4047105193138123,0.4893
1.3576566010713578,0.5129
1.3520297825336456,0.5125
1.411395937204361,0.4863
1.3517208397388458,0.5167
1.34898961186409,0.5201
1.3570365726947784,0.5219
1.4056862205266953,0.4841
1.3298265188932419,0.5283
1.3412428796291351,0.5116
1.3152914613485336,0.5328
1.342940354347229,0.5121
1.3264596670866013,0.5249
1.3013507604599,0.5307
1.3265057653188705,0.5282
1.3568586528301239,0.5222
1.3231987476348877,0.5303
1.3377512663602829,0.5108
1.3376304715871812,0.5192
1.2867207109928132,0.5407
1.267200618982315,0.548
1.2797708332538604,0.5448
1.3401778280735015,0.5188
1.308751830458641,0.5301
1.2735095351934433,0.5423
1.2623768746852875,0.5539
1.3009723991155624,0.5352
1.2991698175668716,0.5352
1.2697427868843079,0.5468
1.254898089170456,0.5527
1.2536747395992278,0.5493
1.2454647481441499,0.5518
1.2558949500322343,0.5485
1.237217542529106,0.5611
1.2792718648910522,0.5499
1.2362145647406577,0.5552
1.2232994794845582,0.564
1.2319742292165756,0.5662
1.2554070591926574,0.5497
1.2087485879659652,0.5702
1.2278261661529541,0.562
1.1925845235586165,0.5754
1.1805094316601754,0.5794
1.2382307797670364,0.5557
1.211644211411476,0.5704
1.2074563026428222,0.5761
1.1863172367215156,0.5807
1.1872034549713135,0.5752
1.2337137192487717,0.5683
1.1969058126211167,0.5665
1.173980602622032,0.5884
1.1728621959686278,0.5844
1.2123457133769988,0.5704
1.1930055111646651,0.5884
1.178345149755478,0.5765
1.1855596885085107,0.5744
1.157688021659851,0.5813
1.1448050886392593,0.5962
1.175931352376938,0.5842
1.145071205496788,0.5975
1.1594493821263314,0.5824
1.157194769382477,0.5899
1.1733661442995071,0.58
1.1674662351608276,0.5866
1.1630731910467147,0.5913
1.1329165816307067,0.6022
1.127738544344902,0.6041
1.1324867129325866,0.5989
1.1343568429350852,0.5884
1.1803112626075745,0.589
1.138647386431694,0.5962
1.143304055929184,0.5947
1.1339424848556519,0.598
1.1528130233287812,0.5904
1.1233812376856804,0.6031
1.1226430803537368,0.6074
1.1221679508686067,0.6052
1.0993349373340606,0.616
1.1090973049402237,0.6057
1.0946330845355987,0.6173
1.077475693821907,0.628
1.1670899957418441,0.5841
1.0759872198104858,0.6225
1.0887028306722641,0.6207
1.0907887861132621,0.6197
1.1113110840320588,0.6067
1.0726051568984984,0.6224
1.0743414521217347,0.6182
1.0837376937270164,0.6215
1.0944222405552864,0.622
1.0695848986506462,0.6265
1.108400285243988,0.6167
1.0824126183986664,0.6154
1.0634439691901207,0.6275
1.0729050904512405,0.6217
1.088693304359913,0.6207
1.0370598509907722,0.6329
1.0641889035701753,0.6227
1.0403973504900932,0.6341
1.0518379792571069,0.6365
1.0583814337849617,0.6249
1.0426481634378433,0.6317
1.0454817831516265,0.6322
1.054177288711071,0.627
1.0484923169016838,0.6338
1.062572991847992,0.6363
1.0256330281496049,0.648
1.0391186267137527,0.6339
1.048842766880989,0.6359
1.055777682363987,0.627
1.0153798177838325,0.646
1.0431016311049461,0.6338
1.0587108835577965,0.6296
1.0037613004446029,0.6457
1.0180560424923897,0.6458
1.022051677107811,0.6482
1.0225978448987008,0.6406
1.0193531319499016,0.6411
1.069415208697319,0.621
1.0348195090889931,0.642
1.059226244688034,0.6266
1.0262948021292686,0.6417
1.0249329879879951,0.6434
1.0053982362151146,0.6544
1.0036093920469285,0.6592
1.0145383134484292,0.6458
1.0388579055666924,0.6346
1.0049334824085236,0.6559
1.0220424011349678,0.6478
1.0251879781484603,0.6377
1.0174702450633049,0.6444
0.992519710958004,0.6555
1.0076087579131126,0.6434
0.9974653512239456,0.6552
0.9861513525247574,0.6597
0.972266735136509,0.66
1.0075265601277352,0.6458
1.0819517135620118,0.6219
1.0071690395474433,0.6463
0.9994346424937248,0.6456
0.9589862994849682,0.6649
0.9927211865782738,0.6602
0.9757492378354072,0.6563
0.9627507105469704,0.6706
1.0129689037799836,0.6489
1.0405911415815354,0.6413
0.9872572228312493,0.6516
1.011780522763729,0.6497
0.9739684358239173,0.6609
0.9730071648955345,0.6617
1.0031114399433136,0.6461
0.9573043853044509,0.6687
0.9503189727663994,0.67
0.9980984941124916,0.6571
0.9643904402852058,0.6654
0.960639813542366,0.6648
0.9451238662004471,0.6716
0.9867667987942695,0.6576
0.952097301185131,0.6682
0.945835855603218,0.6698
0.9490237802267074,0.6706
0.9686568066477775,0.6642
0.9409676268696785,0.6715
0.9627958223223686,0.6661
0.9751164883375167,0.6676
0.9524456918239593,0.6754
0.9391540929675102,0.6767
0.9459514498710633,0.6721
0.9894784569740296,0.6568
0.9378508850932121,0.6707
0.9730180591344834,0.6668
0.9547495633363724,0.6641
0.956919540464878,0.6607
1.0032540082931518,0.6447
0.9796908542513847,0.6623
0.9744325712323189,0.6684
1.0057980850338937,0.6592
0.9275638192892075,0.6769
0.9534884363412857,0.6731
0.9432812005281448,0.676
1.0061124444007874,0.6505
0.9212735444307327,0.6792
0.9440018281340599,0.6734
0.9529287695884705,0.6725
0.9604216620326043,0.6664
0.9511779054999352,0.67
0.9547454103827476,0.6693
0.9117035791277885,0.6891
0.9193813040852546,0.6801
0.9181013122200966,0.6855
0.9443855687975884,0.6757
0.9275503769516945,0.681
0.9549548044800759,0.6714
0.9337040588259697,0.6773
0.9759463936090469,0.6676
0.9342564076185227,0.6839
0.9205111965537072,0.684
0.9461798757314682,0.6792
0.9344313070178032,0.6833
0.9156718701124191,0.69
0.9157498508691788,0.6858
0.965621754527092,0.6741
0.9688236743211747,0.6632
0.9366463467478752,0.686
0.9032452315092087,0.6844
0.9311075806617737,0.6837
0.9504682675004006,0.6771
0.9015826314687729,0.6901
0.9525054320693016,0.6775
0.9600769683718682,0.6753
0.9295127734541893,0.6807
0.9077164083719254,0.6952
0.9132320553064346,0.6859
0.9038366705179215,0.6895
0.9146151080727577,0.6883
0.9186142653226852,0.6839
0.9352951481938362,0.6848
0.9279379025101662,0.6791
0.9189431384205818,0.6866
0.923798505961895,0.6849
0.9003422990441322,0.6912
0.8999788999557495,0.7004
0.8980111047625542,0.6911
0.9177555471658707,0.6922
0.9337251722812653,0.6826
0.8822913005948066,0.699
0.8772541970014572,0.702
0.9192617446184158,0.6884
0.9065099641680717,0.6916
0.931146465241909,0.6888
0.9087988808751106,0.6914
0.9140403911471366,0.6916
0.9215426087379456,0.6886
0.9056792840361595,0.6941
0.941516226530075,0.6869
0.981543841958046,0.6712
0.9072986781597138,0.6979
0.9161792501807213,0.6918
0.8845488116145134,0.7005
0.9096777394413949,0.6972
0.8978457510471344,0.6984
0.8820515155792237,0.6986
0.8879281401634216,0.7033
0.9088701710104943,0.6969
