loss,accuracy
2.2905598878860474,0.152
2.2406949937343597,0.1895
2.201564425230026,0.1754
2.155998635292053,0.1847
2.114311155676842,0.2163
2.0620796352624895,0.2782
2.054073002934456,0.2589
2.035879895091057,0.259
1.9886351019144057,0.292
1.9156948924064636,0.3135
1.8932974696159364,0.3177
1.8798389822244643,0.322
1.873647427558899,0.3157
1.8505782514810563,0.3368
1.8218046754598618,0.3533
1.807772970199585,0.3584
1.7877106577157975,0.3598
1.749392768740654,0.3757
1.7492560237646102,0.3801
1.7490204662084579,0.3614
1.732695683836937,0.3736
1.7297236651182175,0.3617
1.681734237074852,0.3968
1.71592059135437,0.3671
1.6465583354234696,0.4098
1.654353493452072,0.4111
1.6287758141756057,0.4121
1.6601264506578446,0.4037
1.6022030055522918,0.4274
1.5825603365898133,0.4363
1.6190315335988998,0.4189
1.5834096819162369,0.4307
1.5906805872917176,0.4149
1.5414032101631165,0.4543
1.5769328713417052,0.414
1.5620237588882446,0.4383
1.5820980966091156,0.4305
1.5313353925943374,0.4509
1.5295302629470826,0.4536
1.5517992734909059,0.4323
1.4986037909984589,0.4536
1.49964596927166,0.4563
1.4854050487279893,0.4619
1.4894914358854294,0.4676
1.4860118806362153,0.4625
1.4997792422771454,0.4549
1.4719289660453796,0.4707
1.5304438114166259,0.4424
1.4648980170488357,0.4796
1.460625836253166,0.4705
1.486950582265854,0.4563
1.44361869096756,0.4923
1.4578860521316528,0.4759
1.4716987013816833,0.4655
1.425124728679657,0.4908
1.4439611613750458,0.4772
1.454985448718071,0.4683
1.40954370200634,0.4943
1.407480275630951,0.4927
1.4621195793151855,0.4666
1.4128136307001113,0.4949
1.4011457294225693,0.5019
1.4090594828128815,0.5006
1.4544783771038055,0.4636
1.388264536857605,0.508
1.4004084959626197,0.4903
1.3762774229049684,0.5125
1.3992316156625748,0.4884
1.3829294681549071,0.5017
1.360396933555603,0.5093
1.3805558681488037,0.5081
1.4152280300855637,0.5006
1.3900080531835557,0.5046
1.394664916396141,0.4882
1.3973397254943847,0.4944
1.346309918165207,0.5162
1.330963635444641,0.5237
1.3376871198415756,0.5245
1.4019263625144958,0.4948
1.3635292649269104,0.5113
1.336073911190033,0.5217
1.3198827415704728,0.5325
1.3600794792175293,0.513
1.3583565652370453,0.5097
1.3310767114162445,0.5238
1.3145523160696029,0.532
1.3195163637399674,0.5212
1.304927122592926,0.5348
1.322397729754448,0.5273
1.3015132308006288,0.5359
1.3445916533470155,0.5254
1.3014971524477006,0.533
1.2929465383291245,0.5391
1.300436896085739,0.538
1.3196462392807007,0.5285
1.2790018767118454,0.5446
1.297000601887703,0.5372
1.2629256784915923,0.5516
1.2474034816026687,0.552
1.3086560010910033,0.528
1.2810355067253112,0.5425
1.2796490103006364,0.552
1.2590782552957536,0.5547
1.2490612357854842,0.5541
1.3108669489622116,0.5371
1.2685009688138962,0.5393
1.2426854342222213,0.5629
1.2431557387113572,0.5592
1.2821488797664642,0.5451
1.262251928448677,0.5614
1.2398499071598053,0.5495
1.2553077042102814,0.5464
1.2268227845430375,0.5601
1.2160896450281142,0.5709
1.238237863779068,0.5618
1.216490975022316,0.5703
1.2250803425908088,0.5601
1.2283753246068954,0.5609
1.2410981953144073,0.5538
1.2342911183834075,0.5577
1.2252402156591415,0.5676
1.2086935818195343,0.5747
1.2035521179437638,0.5755
1.1981827944517136,0.5745
1.204485610127449,0.5637
1.2491801977157593,0.5597
1.2054864197969437,0.5656
