loss,accuracy
2.2454560160636903,0.211
2.1364452064037325,0.257
2.0618842005729676,0.2642
1.9758897125720978,0.3002
1.9058481186628342,0.3251
1.8360366433858872,0.3475
1.79563527405262,0.3546
1.7685409635305405,0.3761
1.7228437393903733,0.3911
1.7086265504360199,0.3941
1.6784388661384582,0.4055
1.6726331263780594,0.4089
1.6200262367725373,0.4237
1.6091721028089523,0.4298
1.5965605050325393,0.4312
1.5701530039310456,0.4443
1.5659609347581864,0.4445
1.56139377951622,0.4504
1.5244823276996613,0.459
1.5256518065929412,0.4591
1.516931986808777,0.4619
1.507195806503296,0.4613
1.4828636527061463,0.4778
1.502606874704361,0.4695
1.4640363097190856,0.4862
1.4741290122270585,0.4886
1.4543514639139175,0.4941
1.476193618774414,0.4895
1.4697086840867997,0.492
1.4605672180652618,0.4928
1.4445520401000977,0.4924
1.4271160334348678,0.5066
1.449362176656723,0.5069
1.4489458948373795,0.5072
1.4007331371307372,0.5099
1.4179614812135697,0.5035
1.4130874544382095,0.5138
1.4247602343559265,0.5088
1.3972326666116714,0.5205
1.4154870450496673,0.5156
1.4077401459217072,0.5223
1.3987594097852707,0.5215
1.3904089838266374,0.5194
1.3674869760870934,0.5233
1.3912782400846482,0.5301
1.3795892626047135,0.5285
1.382155567407608,0.5255
1.413018849492073,0.5157
1.379781261086464,0.5236
1.3916354805231095,0.5235
1.425664421916008,0.5174
1.3827559500932693,0.5281
1.3752276480197907,0.5367
1.3530144602060319,0.5365
1.388338428735733,0.5328
1.3592819452285767,0.5416
1.35310138463974,0.5439
1.3619097471237183,0.5312
1.3541178166866303,0.5364
1.3729064404964446,0.538
1.3543128967285156,0.5441
1.3646175622940064,0.5411
1.3373470962047578,0.5414
1.3844232708215714,0.5403
1.361308726668358,0.5444
1.335101905465126,0.5474
1.3442771285772324,0.5488
1.371035248041153,0.539
1.3367738038301469,0.5493
1.3531560212373734,0.5515
1.3510693937540055,0.5534
1.3614759147167206,0.5458
1.3546835660934449,0.5548
1.367298349738121,0.5519
1.3400467455387115,0.5534
1.3500599801540374,0.5509
1.3490199863910675,0.5519
1.3607149392366409,0.5528
1.3365406185388564,0.5542
1.412210288643837,0.5466
1.3296766817569732,0.5639
1.3381238400936126,0.5597
1.3457550644874572,0.5552
1.3342813432216645,0.5615
1.3083473891019821,0.565
1.3505707561969758,0.5642
1.3169841706752776,0.5667
1.3437840446829796,0.5608
1.3452971011400223,0.5672
1.352562990784645,0.5597
1.3660054206848145,0.5649
1.3421078026294708,0.568
1.3105668738484382,0.5702
1.3512089610099793,0.5661
1.3366665631532668,0.5658
1.3606294691562653,0.569
1.3492364048957826,0.5653
1.3163676500320434,0.5725
1.337147518992424,0.5703
1.3300652593374251,0.5701
1.3455494523048401,0.5679
1.336476919054985,0.5701
1.342713251709938,0.5713
1.3122196659445762,0.5685
1.3124101489782334,0.5748
1.3414310783147811,0.5726
1.3495573371648788,0.5756
1.3486526995897292,0.5686
1.3496777653694152,0.5692
1.3503649175167083,0.5713
1.3620105296373368,0.5726
1.3371837377548217,0.5658
1.295774245262146,0.5718
1.2959287405014037,0.5736
1.3184788465499877,0.5731
1.2972652435302734,0.5756
1.332628008723259,0.5766
1.3723763883113862,0.5694
1.328697246313095,0.5763
1.3469240576028825,0.5699
1.3341304540634156,0.5712
1.296083015203476,0.5765
1.335558719933033,0.5725
1.3472743719816207,0.5788
1.3329112738370896,0.5744
1.3378975152969361,0.5765
1.3524213135242462,0.5751
1.3333788007497787,0.5759
1.3235784366726875,0.5789
1.3555351048707962,0.5739
1.3382448136806488,0.5824
1.362838739156723,0.5756
1.3694852620363236,0.5776
1.3181500613689423,0.582
1.3305833756923675,0.5822
1.3308269023895263,0.5846
1.297941690683365,0.5857
1.322349551320076,0.5819
1.3320898413658142,0.5869
1.3300072491168975,0.5881
1.3393654078245163,0.586
1.3309097051620484,0.5888
1.3216165646910667,0.5884
1.3151461377739906,0.5905
1.349046242237091,0.5857
1.3599066644906999,0.5848
1.3309693902730941,0.5892
1.3672391891479492,0.5829
1.3118204161524774,0.5843
1.3413646280765534,0.5865
1.3403524219989777,0.5899
1.368102741241455,0.581
1.3466636568307877,0.5897
1.354621547460556,0.5886
1.3364444702863694,0.5828
1.339860239624977,0.5881
1.3622834414243699,0.5873
1.354668453335762,0.5885
1.3577296912670136,0.591
1.3807464361190795,0.5841
1.3326159745454789,0.5847
1.3654442220926284,0.5867
1.3508598238229752,0.5898
1.3754013389348985,0.587
1.3803993850946426,0.5861
1.4165961682796477,0.5837
1.3119875133037566,0.5893
1.338756012916565,0.5893
1.3789364978671075,0.5792
1.3436627417802811,0.5884
1.3805686980485916,0.5903
1.3796441435813904,0.591
1.3792200177907943,0.5855
1.3432131707668304,0.5907
1.424565327167511,0.583
1.3776114672422408,0.5936
1.3746330350637437,0.5881
1.3908912152051927,0.585
1.3594934165477752,0.589
1.331110619008541,0.591
1.339962187409401,0.5935
1.334809273481369,0.5949
1.3765949964523316,0.5928
1.3635498881340027,0.5924
1.4032841891050338,0.5935
1.3829128950834275,0.5912
1.3909831017255783,0.5971
1.3797857940196991,0.5933
1.3702426999807358,0.5887
1.3772711783647538,0.5894
1.3553421676158905,0.5909
1.3770972192287445,0.5988
1.3756552577018737,0.5993
1.3857759952545166,0.5916
1.3735022604465486,0.5993
1.44241544008255,0.5868
1.3672129154205321,0.5961
1.382541075348854,0.5905
1.3762676686048507,0.5911
1.356749302148819,0.5985
1.38907231092453,0.5919
1.3935298204421998,0.5931
1.3803587526082992,0.5952
1.371244102716446,0.5932
1.358674094080925,0.5942
1.387636837363243,0.6
1.3972611516714095,0.5963
1.3724752351641656,0.5947
1.3505358457565309,0.6017
1.3729739785194397,0.602
1.3863630533218383,0.6015
1.3925825625658035,0.6021
1.401450404524803,0.6028
1.4270701229572296,0.5963
1.4058159977197646,0.5998
1.370428130030632,0.6032
1.383226665854454,0.5979
1.4072143197059632,0.5907
1.3769927889108657,0.6035
1.4016172260046005,0.6011
1.4036195605993271,0.602
1.4067047894001008,0.5977
1.4223072469234466,0.5954
1.4115018546581268,0.6041
1.4272692888975143,0.6005
1.4171441316604614,0.5979
1.4208376854658127,0.5982
1.3914774060249329,0.5967
1.3896732956171036,0.5999
1.433005154132843,0.5976
1.414942640066147,0.6007
1.442677265405655,0.6035
1.4287158250808716,0.6038
1.4020770713686943,0.6028
1.4275386661291123,0.6026
1.4280976623296737,0.5969
1.45267596244812,0.5922
1.4166020631790162,0.5992
1.4565358102321624,0.5985
1.4541452884674073,0.6025
1.4458239525556564,0.6026
1.415461203455925,0.5947
1.4473548710346222,0.5933
1.4171400874853135,0.6064
1.3941512882709504,0.6057
1.4127473562955857,0.6025
1.446542489528656,0.6018
1.4406510263681411,0.6034
1.4564175724983215,0.6007
1.4668700486421584,0.598
1.448175948858261,0.6051
