loss,accuracy
2.302724504470825,0.0865
2.2981623232364656,0.1
2.887024587392807,0.1686
2.5231396913528443,0.1071
4.817682266235352,0.1777
2.4605130195617675,0.1889
2.3773539304733275,0.1924
2.5858383893966677,0.176
3.0030545830726623,0.1826
2.877625173330307,0.1822
2.337297487258911,0.1982
2.282337415218353,0.1975
3.1902643740177155,0.2357
2.6284184038639067,0.2446
2.3678811490535736,0.2474
2.313174146413803,0.2459
3.167386084794998,0.2235
2.6616900622844697,0.1554
2.3607110679149628,0.2036
2.258524864912033,0.2276
3.4479125499725343,0.2484
2.3583501040935517,0.2515
3.379148817062378,0.2613
2.58327773809433,0.2562
2.4592449367046356,0.259
2.207819551229477,0.2694
2.1881359577178956,0.2682
2.9499336898326876,0.1576
3.431774687767029,0.2437
2.235502392053604,0.2288
2.2290945291519164,0.2324
2.2227409720420837,0.2336
2.2166350901126863,0.231
2.5269950568675994,0.2618
2.2016004502773283,0.2664
3.6644172191619875,0.2688
3.080440431833267,0.2765
3.390071952342987,0.2722
2.4037848472595216,0.2805
2.381443905830383,0.2805
2.216550147533417,0.2811
2.164564126729965,0.2859
2.1612385869026185,0.288
2.1546497285366057,0.2892
3.028463190793991,0.1036
3.332305246591568,0.2815
2.5834142923355103,0.2919
2.478161561489105,0.2918
2.0946605265140534,0.2791
3.0368408143520353,0.29
2.4026888847351073,0.2914
2.148285675048828,0.2313
2.0990370571613313,0.2443
2.0783770471811294,0.2539
2.0744901955127717,0.2607
2.057590180635452,0.2687
2.046223646402359,0.2719
2.023854583501816,0.2769
2.0105782955884934,0.2804
2.012284392118454,0.2867
1.991335889697075,0.2895
1.9899930030107498,0.2912
1.990399530529976,0.2888
1.9712999224662782,0.2875
1.9750712722539903,0.2917
1.9819632023572922,0.2967
1.9778135508298873,0.2957
2.8668625473976137,0.2607
2.455465441942215,0.1776
2.3047699689865113,0.1878
3.205864506959915,0.1834
2.269546151161194,0.2125
2.6079316556453707,0.2568
2.258176106214523,0.2666
2.1991944670677186,0.2706
2.8672289073467256,0.2831
2.4470179200172426,0.2902
2.2298611760139466,0.2914
2.177058556675911,0.2957
3.249770623445511,0.1829
2.166056680679321,0.2507
2.1166956961154937,0.2528
2.098980888724327,0.2582
2.091853028535843,0.2605
3.5053312122821807,0.1723
3.375399279594421,0.1837
2.352385586500168,0.2166
4.229702019691468,0.1981
4.001962149143219,0.1704
2.8817231178283693,0.2071
2.225076597929001,0.2523
2.160059779882431,0.2659
2.467011085152626,0.2893
4.123522859811783,0.2155
2.8742567896842957,0.2287
1.999539002776146,0.319
1.9857377231121063,0.331
2.8810119569301604,0.241
4.254447680711746,0.1741
3.0123577415943146,0.1983
3.28957359790802,0.2073
2.437715542316437,0.2521
2.963306188583374,0.3017
2.458990287780762,0.3084
2.346950125694275,0.3124
2.1087709605693816,0.3233
2.0518948137760162,0.3239
3.132802677154541,0.2835
2.5480808943510054,0.2916
3.511135482788086,0.2319
4.387236565351486,0.287
2.813244676589966,0.2918
2.4143869161605833,0.2964
2.316245657205582,0.2969
5.329035699367523,0.2731
3.759123885631561,0.2899
3.091979318857193,0.2927
2.706128269433975,0.2978
2.2805451273918154,0.2972
2.1354863584041595,0.3061
2.0885019540786742,0.3106
2.079938045144081,0.3108
2.061382657289505,0.312
3.0329190313816072,0.2183
2.2212998807430266,0.262
2.1352080792188644,0.2733
2.04708069562912,0.2876
2.011964723467827,0.2899
3.728110706806183,0.2795
2.8279878437519073,0.2881
2.5334247648715973,0.2888
2.4403081238269806,0.294
2.3525263249874113,0.2964
2.212309855222702,0.3021
2.1871726334095003,0.3044
3.3879853248596192,0.2012
2.790969413518906,0.2887
2.4159098744392393,0.2946
2.2361064732074736,0.3061
2.2078446626663206,0.3073
2.0885633409023283,0.3146
2.0599054872989653,0.3247
2.0092209935188294,0.328
1.9730343967676163,0.3329
1.994091382622719,0.3074
1.9056973487138749,0.321
1.8929464310407638,0.3293
2.363054859638214,0.2606
2.0415059715509414,0.3051
4.648237562179565,0.2833
2.9792134761810303,0.2953
2.7162785947322847,0.2976
3.4050677478313447,0.2969
2.5168208837509156,0.3144
3.0258746802806855,0.3055
2.526212692260742,0.3137
2.279725059866905,0.3234
2.172583055496216,0.3322
2.102513539791107,0.3373
1.9857040047645569,0.3415
1.9679091930389405,0.3424
1.9574325859546662,0.3462
1.9366648882627486,0.3488
1.9178755909204483,0.3536
1.9011256754398347,0.355
1.8933147490024567,0.3586
1.863485899567604,0.3579
3.1935013592243195,0.2189
3.927344000339508,0.2262
3.7423571586608886,0.2377
4.319876587390899,0.2346
2.7851462185382845,0.2811
4.425194227695465,0.191
4.48979098200798,0.1985
2.7177625000476837,0.2626
2.4488944709300995,0.2859
2.249809539318085,0.3093
2.100167393684387,0.3312
2.0353958398103713,0.3378
1.9447590053081512,0.3464
1.9296717047691345,0.3469
1.9241361677646638,0.3495
1.9112804681062698,0.3553
4.396001827716828,0.299
3.2324031710624697,0.31
3.1229887425899507,0.305
2.387145882844925,0.3253
2.203423961997032,0.3293
2.123304748535156,0.3324
2.070729285478592,0.3372
2.0519165992736816,0.3412
2.0160727739334106,0.3446
3.804181182384491,0.2996
4.141728699207306,0.3049
3.475260156393051,0.3175
2.6333508670330046,0.3314
3.4414977371692657,0.2273
2.307461327314377,0.3174
4.526242744922638,0.3032
2.7223881065845488,0.3261
2.5745763063430784,0.3324
2.305275672674179,0.3417
3.852623575925827,0.2405
2.5046330451965333,0.3269
2.241998076438904,0.3458
2.161905360221863,0.353
2.112272721529007,0.3606
2.095764157176018,0.3604
2.058242952823639,0.3647
4.462050676345825,0.226
3.7310789227485657,0.2475
2.3497921258211134,0.333
3.1204623579978943,0.3363
2.4438193082809447,0.3602
2.363648521900177,0.3676
3.1857010185718537,0.2961
4.037938112020493,0.3087
3.7407743990421296,0.315
3.3535461008548735,0.3247
3.125004506111145,0.3305
4.590089666843414,0.2275
2.7783911287784577,0.304
2.39346866607666,0.3359
3.769061779975891,0.3138
3.8702699065208437,0.2428
3.39015793800354,0.3197
3.1527858078479767,0.3263
3.541652852296829,0.328
2.7919977009296417,0.3464
