loss,accuracy
2.3027244806289673,0.0865
2.2981623291969298,0.1
2.8870245933532717,0.1686
2.5231397330760954,0.1071
4.81780903339386,0.1777
2.4605307817459106,0.1887
2.3773673713207244,0.1924
2.5860853791236877,0.176
3.0231452882289886,0.182
2.8941321671009064,0.1801
2.3318381130695345,0.1984
2.279337912797928,0.1967
3.177418291568756,0.2341
2.6257555425167083,0.2435
2.3673523396253584,0.2483
2.312761700153351,0.2473
3.146787178516388,0.2233
2.805612027645111,0.1462
2.324054229259491,0.2127
2.2442166805267334,0.2355
3.1329218626022337,0.2558
2.3434313118457792,0.2515
3.2554240047931673,0.243
2.511971950531006,0.2467
2.426202428340912,0.2469
2.2299762308597564,0.249
2.2086176723241806,0.256
2.6242422819137574,0.1572
3.4270817399024964,0.2301
2.2314810156822205,0.223
2.225092500448227,0.2233
2.2195560812950133,0.2246
2.214421492815018,0.2223
2.657106477022171,0.2683
2.2631927907466887,0.264
3.571737307310104,0.257
2.9319021701812744,0.2681
3.425845241546631,0.2489
2.3579184234142305,0.2634
2.341837388277054,0.2623
2.217017501592636,0.269
2.1668858170509337,0.2678
2.160017991065979,0.2696
2.1581624388694762,0.2779
2.624640280008316,0.1619
3.0360116004943847,0.2669
2.495344930887222,0.2748
2.415043383836746,0.2755
2.129028022289276,0.2734
3.3392920076847075,0.2886
2.49890056848526,0.2884
2.1424889743328093,0.2166
2.119628870487213,0.2207
2.093753293156624,0.2342
2.092629390954971,0.2371
2.079520747065544,0.239
2.068432515859604,0.2455
2.0497002780437468,0.2466
2.0375652641057966,0.2505
2.0322267353534698,0.2597
2.0213712096214294,0.2597
2.015332669019699,0.2603
2.0154177755117417,0.2602
1.996061760187149,0.2607
2.0001146882772445,0.2641
2.005102077126503,0.2688
1.9998228877782822,0.2617
2.979353106021881,0.2709
2.6907992899417876,0.1781
2.4099546909332275,0.185
3.7006113827228546,0.1778
2.3868529915809633,0.197
2.8869004905223847,0.2512
2.312135410308838,0.2629
2.219161903858185,0.2656
2.8032303988933562,0.289
2.4476610898971556,0.2936
2.2133738845586777,0.2945
2.1653193712234495,0.2927
3.091803252696991,0.1876
2.149204295873642,0.2523
2.09520605802536,0.2617
2.074555662274361,0.2694
2.0748087972402574,0.2734
3.5526681542396545,0.1888
3.889644813537598,0.1783
2.4928386569023133,0.2039
3.947688841819763,0.2084
4.296419316530228,0.1691
2.750522810220718,0.2093
2.185020959377289,0.2559
2.1308193027973177,0.2695
2.4329837024211884,0.2859
3.5716020703315734,0.2131
2.759077161550522,0.224
1.9519851833581925,0.3158
1.9337850332260131,0.3338
2.808123517036438,0.2452
4.295965903997422,0.1825
3.114072620868683,0.2056
3.055867689847946,0.2093
2.3422969400882723,0.2623
2.7479959666728973,0.2827
2.4371961116790772,0.2897
2.3524979293346404,0.2936
2.1358413606882096,0.3044
2.0867781400680543,0.3072
2.9805998265743257,0.2957
2.5800388544797896,0.2965
3.5366045415401457,0.2287
4.3440169274806975,0.2977
2.8619376182556153,0.301
2.4103520929813387,0.3032
2.3141167640686033,0.3072
4.844579720497132,0.2949
3.7789772868156435,0.2994
3.250942426919937,0.2982
2.8637611508369445,0.3051
2.344668537378311,0.3035
2.151958653330803,0.3106
2.0839695274829864,0.3234
2.07588429749012,0.3224
2.0481042891740797,0.3252
3.5511400640010833,0.1949
2.283614009618759,0.2699
2.166090103983879,0.2817
2.0517512917518617,0.3002
2.0086440831422805,0.3079
3.5284628868103027,0.2775
2.8251718878746033,0.2799
2.4756114363670347,0.2871
2.4106106877326967,0.2922
2.303865385055542,0.2987
2.1477317184209825,0.3039
2.0750774264335634,0.313
3.225311779975891,0.2312
3.371981477737427,0.2802
2.4186175644397734,0.2867
2.2296411246061325,0.2984
2.1964878916740416,0.3003
2.084129902720451,0.3043
2.0589809119701385,0.3113
2.0158299833536146,0.3174
1.9793135046958923,0.3246
2.229018986225128,0.2302
2.000984823703766,0.2695
1.93131742477417,0.2965
3.237000602483749,0.1872
1.9620019912719726,0.3191
4.044396084547043,0.2982
2.899847614765167,0.2996
2.6203383684158323,0.3009
3.683689111471176,0.3026
2.5227997243404388,0.3228
3.2244170010089874,0.2893
2.6039770424365996,0.3054
2.289031147956848,0.3213
2.165800967812538,0.328
2.0826430529356004,0.3349
1.9856033027172089,0.3492
1.9660135924816131,0.3509
1.9492752581834794,0.3546
1.9339192926883697,0.3592
1.893804880976677,0.3649
1.8951328217983245,0.3603
1.8893130749464035,0.3663
1.8587065905332565,0.3667
3.654568946361542,0.1949
3.263729101419449,0.2295
3.581118714809418,0.2356
4.227016705274582,0.2301
2.663446146249771,0.2733
4.530023729801178,0.1901
5.742663168907166,0.1908
2.7832632303237914,0.2491
2.479348224401474,0.2715
2.222834387421608,0.2991
2.0467125833034516,0.3221
1.9974061489105224,0.3281
1.929753777384758,0.3404
1.9062589555978775,0.3455
1.8917667657136916,0.3494
1.8791793018579483,0.3554
4.198343724012375,0.2988
3.173549008369446,0.3025
3.7592390835285188,0.3069
2.471240770816803,0.3418
2.237727779150009,0.3604
2.1541243612766268,0.3561
2.068742352724075,0.3626
2.054683181643486,0.3639
2.0244987845420837,0.3694
3.931594854593277,0.3113
4.118956750631332,0.3131
3.46976460814476,0.3264
2.6049388468265535,0.3433
3.511035233736038,0.229
2.5353862583637237,0.3017
3.8533459305763245,0.3021
2.7027921617031097,0.3129
2.5224441826343535,0.3215
2.2750863909721373,0.3306
4.215452653169632,0.215
2.3735195100307465,0.3103
2.1723907560110094,0.3408
2.1010967403650285,0.3455
2.0554615765810014,0.3531
2.0844483345746996,0.3522
2.0638747811317444,0.3561
5.41164984703064,0.2118
3.911892384290695,0.2371
2.209397441148758,0.3394
3.3461420059204103,0.3237
2.517730784416199,0.3528
2.418987143039703,0.3617
3.3132768511772155,0.2896
3.754217055439949,0.3046
3.5738116800785065,0.3012
3.1331477761268616,0.312
2.932790207862854,0.3206
3.627528989315033,0.2448
2.6223619759082792,0.3008
2.3405828952789305,0.3252
3.5947296619415283,0.3013
4.094520968198776,0.2285
3.21966552734375,0.3237
3.035122960805893,0.3284
3.365158796310425,0.3116
2.653881478309631,0.3309
2.5203005135059358,0.3365
2.3450065672397615,0.3489
2.27205685377121,0.3518
2.2300828635692596,0.353
2.184986898303032,0.3585
2.1457074165344237,0.3649
3.2283734351396562,0.2847
2.978575146198273,0.3054
4.36219270825386,0.3108
3.461943858861923,0.3168
2.9132837653160095,0.3293
3.2032105326652527,0.3074
3.3343919634819033,0.31
2.805631160736084,0.3326
2.6806263387203217,0.3411
3.2095940828323366,0.3213
2.439994531869888,0.3605
2.339966505765915,0.3699
2.2257395058870317,0.38
2.208691897988319,0.383
2.117281863093376,0.3868
