loss,accuracy
2.3108996152877808,0.1002
2.210824650526047,0.1161
2.229601150751114,0.192
2.3211566388607023,0.1011
2.1837191820144652,0.189
1.994150671362877,0.2521
1.9216626793146134,0.3053
2.0299615532159807,0.2634
1.949382919073105,0.2841
2.061813470721245,0.2551
2.0397749185562133,0.2565
1.8306392520666122,0.347
1.6813493907451629,0.396
1.764868125319481,0.3857
1.769781506061554,0.3594
1.7748074382543564,0.3591
1.6254175275564193,0.4471
1.982358917593956,0.3403
1.776266974210739,0.3584
1.7950149774551392,0.3763
1.5820297837257384,0.4361
1.596657207608223,0.4054
1.6068743765354156,0.4322
1.795533013343811,0.3643
1.667518463730812,0.404
1.5960052639245987,0.4297
1.7963458478450776,0.3695
1.6571109145879745,0.4113
1.5939559310674667,0.4416
2.0828817069530485,0.3416
1.7979400515556336,0.3767
1.4700398653745652,0.4874
1.435083943605423,0.4879
1.4242394596338273,0.4883
1.4334959268569947,0.4885
1.4316908031702043,0.4734
1.4026448160409928,0.5064
1.5440142065286637,0.4441
1.8077335774898529,0.3693
1.4437004178762436,0.5067
1.6134485304355621,0.467
1.586018294095993,0.4545
1.6866519033908844,0.4265
1.385006308555603,0.531
1.3475950181484222,0.5344
1.5353634893894195,0.4589
2.225972753763199,0.3378
1.4217852860689164,0.5047
1.3330959975719452,0.5284
1.470767480134964,0.4841
1.8858615726232528,0.4257
1.4666676461696624,0.5176
1.603452530503273,0.4969
1.2624930381774901,0.571
1.7234850496053695,0.4214
1.3511543244123458,0.5343
1.81656112074852,0.4547
1.9468850910663604,0.4088
1.3841937750577926,0.5135
1.417866525053978,0.5239
1.684961199760437,0.506
1.4130934417247771,0.5374
1.278320211172104,0.5606
1.2943932980298996,0.5534
1.7203555315732957,0.4377
1.328113356232643,0.5423
1.5292939007282258,0.5154
1.4683906376361846,0.5473
1.5554562658071518,0.4877
1.6016394078731537,0.4585
1.7650871947407722,0.4351
1.5951336055994034,0.4561
1.6790417909622193,0.4454
1.6988112658262253,0.4644
1.4163075298070908,0.5218
1.4649516016244888,0.5197
1.2922458916902542,0.557
1.2967097759246826,0.5556
1.4149263799190521,0.5254
1.3670074820518494,0.5332
1.259690660238266,0.5793
1.3603728830814361,0.5439
1.4266704231500626,0.541
1.3010442525148391,0.5719
1.3069386601448059,0.5603
1.3158863440155983,0.5534
1.388052186369896,0.5497
1.4148166835308076,0.5327
1.3438477694988251,0.5651
2.1357658952474594,0.4325
1.4812704771757126,0.5371
1.3121528953313828,0.5843
1.329754102230072,0.5656
1.592120137810707,0.5158
1.59897018969059,0.5119
1.6258036762475967,0.4893
1.2706909716129302,0.578
1.5531267464160918,0.5415
1.5363954439759255,0.5417
1.426073995232582,0.5691
1.5814037948846817,0.559
1.5826271414756774,0.5447
1.5257296204566955,0.5418
1.6225923001766205,0.5088
1.4060867071151733,0.5523
1.3989499926567077,0.556
1.3096523255109787,0.5844
1.5682314574718474,0.5295
1.455738714337349,0.5606
1.558071595430374,0.5494
