loss,accuracy
2.219989758729935,0.2161
1.9202367186546325,0.3102
1.9287081509828568,0.3179
2.4489853501319887,0.2216
1.8299784183502197,0.347
1.7761030435562133,0.4071
1.6953811645507812,0.4314
1.890381360054016,0.3825
1.77897067964077,0.3928
2.138959828019142,0.3476
1.6892534494400024,0.4224
1.6497115314006805,0.4424
1.6496904075145722,0.4471
1.7125217080116273,0.435
1.5679967135190964,0.4815
1.8053741186857224,0.4338
1.6298987150192261,0.4756
2.7017920672893525,0.3927
1.6747860699892043,0.4605
1.8653678745031357,0.452
1.5584168702363967,0.4876
1.9488893061876298,0.4015
1.7129885375499725,0.4612
2.1296474635601044,0.4129
1.7392886877059937,0.4619
1.8102704256772995,0.4757
1.6648523643612863,0.471
1.6797649413347244,0.4826
2.212533938884735,0.4189
3.4403878808021546,0.3607
2.2722538620233537,0.383
1.5472546845674515,0.4926
1.649682343006134,0.5118
1.9431051790714264,0.475
1.654378604888916,0.4913
1.505451300740242,0.521
1.6446818470954896,0.5298
2.0193320363759995,0.4842
1.64196437895298,0.4937
1.713294467329979,0.5088
1.8333458930253983,0.4813
2.086413416266441,0.4806
2.447508728504181,0.4264
1.5500200659036636,0.5113
1.817746713757515,0.4991
2.0026469081640244,0.4664
2.7265807747840882,0.3994
1.6175923705101014,0.5181
1.6846238434314729,0.5108
1.7760219395160675,0.5027
3.0655525594949724,0.4086
1.8027138322591783,0.5157
2.0059105128049852,0.503
1.581141036748886,0.5482
2.019200998544693,0.4617
1.5295626878738404,0.5307
2.53826043009758,0.444
1.7446801394224167,0.4963
1.7321117028594017,0.5179
1.8291899412870407,0.5268
2.3712567746639253,0.4803
1.7442654192447662,0.5313
1.6343668967485427,0.5384
1.7604685723781586,0.5176
2.0194402605295183,0.4669
1.7575298249721527,0.53
2.0091878563165664,0.5204
2.092901873588562,0.5012
1.8829948216676713,0.516
2.4329810976982116,0.4475
2.2194516241550444,0.4538
2.3219535499811172,0.4431
1.9114465951919555,0.481
2.3349180310964583,0.4581
1.7429981231689453,0.5197
1.8527793735265732,0.5271
1.8027846336364746,0.526
1.9697550982236862,0.5031
2.2085994690656663,0.4881
1.839992019534111,0.5164
1.6340365752577781,0.5583
2.0135726600885393,0.5145
2.2162213802337645,0.5078
1.8193622380495071,0.5292
1.6560794174671174,0.5515
1.8272703856229782,0.5415
2.0962820559740067,0.491
1.877426767349243,0.5043
2.186420884728432,0.5143
3.007221466302872,0.4359
2.082193651795387,0.5133
1.898564448952675,0.546
2.1057262063026427,0.5248
2.2043380230665206,0.4906
2.191029617190361,0.4973
1.8656435698270797,0.5166
1.7820116817951202,0.5452
2.260258659720421,0.5143
2.002423566579819,0.533
2.0063315361738203,0.5415
2.2431981712579727,0.5281
2.239607125520706,0.5201
1.8707235395908355,0.5533
2.3068756580352785,0.5075
2.24639193713665,0.5149
2.290716829895973,0.5131
1.8126391559839248,0.5645
2.0030833393335343,0.5276
2.3339986473321916,0.5007
1.9394165605306626,0.5242
2.0974725008010866,0.4995
2.1270134836435317,0.5156
2.242198809981346,0.5148
2.3017107427120207,0.5234
2.2892690181732176,0.5339
2.5230161368846895,0.5164
3.175280123949051,0.4342
2.188961127400398,0.4988
2.0193449914455415,0.5329
2.087975177168846,0.5249
2.2458655059337618,0.5042
1.9804909467697143,0.5389
2.6713513016700743,0.4789
2.0069599360227586,0.5395
1.905425414443016,0.5528
2.0686476469039916,0.5469
2.6127161741256715,0.4974
2.3082179844379427,0.5032
2.236894664168358,0.525
2.5811163187026978,0.5011
2.4493488132953645,0.4946
2.5530365705490112,0.4971
3.202963924407959,0.4324
2.8381786823272703,0.4672
2.2333964347839355,0.5159
2.5324556052684786,0.4797
2.0101125091314316,0.5442
2.709466677904129,0.489
2.1530210345983507,0.5443
2.355203714966774,0.5354
3.1973823487758635,0.4728
3.055535751581192,0.4642
2.675336068868637,0.5
1.9010213196277619,0.5346
2.1759156614542006,0.5285
2.1818265944719313,0.5248
1.9494152635335922,0.5562
3.061989885568619,0.4761
4.296071571111679,0.378
2.5326634526252745,0.4838
2.217105859518051,0.5245
2.405910927057266,0.5123
2.7911280691623688,0.4914
2.220186322927475,0.5203
2.658831852674484,0.506
2.803112006187439,0.5062
2.3189705073833466,0.5278
3.0220359414815903,0.4497
2.281898248195648,0.5261
2.156666946411133,0.5479
2.666634660959244,0.5155
2.2342118471860886,0.5457
2.328906607627869,0.5254
2.729082798957825,0.5024
2.657367783784866,0.5166
2.420670160651207,0.516
2.32219877243042,0.5343
2.4749261856079103,0.5315
3.343133860826492,0.4466
