loss,accuracy
2.3027244925498964,0.0865
2.298162341117859,0.1
2.887024611234665,0.1686
2.523150306940079,0.1071
4.804311168193817,0.1782
2.4604111313819885,0.1884
2.377338570356369,0.1923
2.5839116871356964,0.1758
3.025888115167618,0.1804
2.86712965965271,0.1805
2.334728664159775,0.1984
2.2820669651031493,0.1988
3.17334463596344,0.2307
2.62094931602478,0.2416
2.3678858458995817,0.246
2.3132433116436006,0.2451
3.1915998220443726,0.2214
2.588137608766556,0.1547
2.4170479476451874,0.1964
2.266946566104889,0.2191
3.204678177833557,0.2498
2.352118694782257,0.2527
3.381271207332611,0.2602
2.557115489244461,0.2495
2.4515426576137545,0.2498
2.2305998265743257,0.2565
2.2068008720874785,0.2587
3.166355836391449,0.1548
3.2812575697898865,0.2276
2.243895697593689,0.2351
2.240163493156433,0.2348
2.2368873715400697,0.2351
2.2319322347640993,0.2346
2.4891115188598634,0.2612
2.284606283903122,0.2607
3.460238242149353,0.2758
2.9461836159229278,0.2818
3.7709079146385194,0.2591
2.33140806555748,0.2791
2.3160673826932907,0.2815
2.1904284000396728,0.284
2.150124740600586,0.2822
2.147411194443703,0.2825
2.1439453601837157,0.2866
2.4520482301712034,0.1577
3.4486513793468476,0.2441
2.427116072177887,0.2741
2.335167020559311,0.2732
2.108907049894333,0.2721
2.9777268528938294,0.2892
2.3487869620323183,0.2994
2.1202055394649504,0.2563
2.0904485166072844,0.2644
2.0642062216997146,0.2764
2.0626650601625443,0.2803
2.0481364756822584,0.2818
2.0378968566656113,0.285
2.017825150489807,0.2901
2.008189043402672,0.2937
2.0054421603679655,0.2954
1.9934594601392746,0.2978
1.9876285403966905,0.2983
1.9902038097381591,0.2989
1.972325050830841,0.3005
1.9754436403512954,0.3026
1.9783588916063308,0.3029
1.9789105296134948,0.3023
2.5742668390274046,0.2564
2.4187671184539794,0.1847
2.2977804601192475,0.1923
3.18565838932991,0.1856
2.2848732233047486,0.2107
2.4451966404914858,0.2485
2.2002660036087036,0.27
2.14087738096714,0.2766
2.5283179938793183,0.2814
2.294463759660721,0.288
2.1358557999134065,0.2867
2.084447705745697,0.2976
2.526674735546112,0.1908
2.070500820875168,0.2643
2.0363728284835814,0.2729
2.0140787601470946,0.2852
2.01275854408741,0.2891
3.7823878586292268,0.1753
3.8095196008682253,0.1696
2.181467664241791,0.2394
4.137917166948318,0.2088
3.0359553754329682,0.1737
2.8709161043167115,0.2241
2.098351016640663,0.2883
2.047142022848129,0.3
2.4448649913072584,0.2905
3.589344322681427,0.2133
2.6488194108009337,0.2268
1.9587280660867692,0.3388
1.9467184215784072,0.3486
2.8727027416229247,0.2383
3.734382176399231,0.1893
2.7243670165538787,0.226
3.0416230380535128,0.2331
2.3115774750709535,0.2811
2.8178036332130434,0.2749
2.384514534473419,0.2836
2.285682016611099,0.287
2.0654651910066604,0.3025
2.0229175090789795,0.3101
2.9053338885307314,0.2856
2.3890393882989884,0.2934
3.4181246876716616,0.2356
3.3834731459617613,0.2964
2.3751896172761917,0.3053
2.142334818840027,0.3131
2.084404417872429,0.3149
4.149137407541275,0.276
2.902325117588043,0.3018
2.5622131764888763,0.3067
2.3278791666030885,0.3086
2.086581122875214,0.3203
1.9920733600854874,0.3307
1.961119744181633,0.335
1.9542425841093063,0.3339
1.9350163489580154,0.3349
3.039275497198105,0.2066
2.0288733512163164,0.3079
1.9758828908205033,0.3224
1.9117549806833267,0.344
1.8890741527080537,0.3443
2.65585275888443,0.3018
2.2600164353847503,0.3132
2.0916766673326492,0.3197
2.0917845338582994,0.3172
2.0403439939022063,0.3249
1.958076274394989,0.3286
1.9370045602321624,0.3413
2.760076940059662,0.2231
3.004519248008728,0.2947
2.316343587636948,0.2987
2.149953156709671,0.3069
2.1156109422445297,0.3084
2.0072909742593765,0.3117
1.9900859713554382,0.3166
1.9644078671932221,0.3217
1.9299590289592743,0.3271
2.0061185479164125,0.2978
1.914757665991783,0.3138
1.8946297109127044,0.3211
2.7172429382801058,0.2326
1.982541385293007,0.3115
3.045526897907257,0.2813
2.4473880350589754,0.2973
2.2756643682718276,0.3007
2.6204917311668394,0.3095
2.17349659204483,0.3329
2.3892445027828217,0.3233
2.177936780452728,0.3335
2.035989063978195,0.3445
1.9695375621318818,0.349
1.9316518217325211,0.3532
1.8767783105373383,0.3601
1.8587563306093215,0.3607
1.8470177143812179,0.3661
1.8397103399038315,0.366
1.8232675790786743,0.3715
1.8218395411968231,0.3714
1.8224787533283233,0.3737
1.7881396383047103,0.3743
3.1580612778663637,0.2123
3.8509482979774474,0.22
3.631741017103195,0.2354
4.008230012655258,0.2297
2.451253038644791,0.2845
4.379667741060257,0.1971
4.128929007053375,0.2107
2.2720096707344055,0.3054
2.1326698690652846,0.3211
2.00848248898983,0.3414
1.9116513758897782,0.3552
1.8884831994771958,0.356
1.8359208673238754,0.3704
1.817875972390175,0.3731
1.8084599316120147,0.3745
1.8065602123737334,0.3794
3.2762734949588777,0.3072
2.6727437674999237,0.3203
3.340522164106369,0.3069
2.2756721407175062,0.3346
2.0608451634645464,0.3445
1.9751548647880555,0.353
1.9202575504779815,0.3576
1.9111014395952224,0.3637
1.8830494970083236,0.3693
3.0909346640110016,0.3137
3.361387091875076,0.3121
2.7694721162319182,0.3367
2.2602699637413024,0.356
2.9147286772727967,0.2651
2.205530735850334,0.3296
3.5292930245399474,0.3181
2.3828634202480314,0.3344
2.250052607059479,0.343
2.033995231986046,0.3537
3.826633667945862,0.2364
2.1733566343784334,0.3448
2.004826211929321,0.3721
1.9403249979019166,0.3803
1.9047330677509309,0.3835
2.1106125980615618,0.3583
2.0438014954328536,0.3655
5.1985591173172,0.2081
3.763157820701599,0.2389
2.054709094762802,0.3425
2.6879158556461333,0.3404
2.131610333919525,0.3763
2.105072093009949,0.3854
3.204701840877533,0.2855
2.8534383326768875,0.3307
3.410771608352661,0.3091
2.8236351132392885,0.333
2.5948178350925444,0.3454
4.095045608282089,0.2203
2.3281788349151613,0.3303
2.0794036388397217,0.3565
3.1486164689064027,0.3256
2.9299353301525115,0.2807
2.636276811361313,0.3486
2.4903936445713044,0.3543
2.917936199903488,0.3426
2.2295183449983598,0.367
2.129011979699135,0.37
2.0322843164205553,0.3799
1.9953132361173629,0.3879
1.949682131409645,0.3915
1.9144573926925659,0.3994
1.8936093002557755,0.4015
3.1439955174922942,0.2958
2.7114561915397646,0.3324
3.584111136198044,0.3226
2.89773029088974,0.3393
2.420028579235077,0.3596
3.6304707705974577,0.2675
3.2424454748630525,0.2914
2.544746321439743,0.3291
2.3100350856781007,0.3477
3.3878601014614107,0.2961
2.1215946108102797,0.3689
2.026624608039856,0.384
1.9385187923908234,0.3975
1.947413396835327,0.3975
1.8804787158966065,0.4024
2.9854770839214324,0.343
3.564555603265762,0.2664
2.846669191122055,0.3482
2.2928072035312654,0.3686
3.237171655893326,0.295
2.4146935284137725,0.3471
2.3257180362939835,0.3955
2.113463044166565,0.4038
3.2760879576206205,0.3256
2.3031811267137527,0.3854
3.482668662071228,0.3379
2.712228834629059,0.3617
2.252561917901039,0.3914
2.1122449934482574,0.3953
2.066310864686966,0.4002
2.015638941526413,0.4038
1.986123114824295,0.4067
2.79201078414917,0.3688
3.2815230786800385,0.3375
2.6910817623138428,0.3726
2.2961359292268755,0.3941
2.2488309293985367,0.3968
2.2401185482740402,0.401
2.1817479342222215,0.4061
2.012276327610016,0.4167
2.415442389249802,0.3968
2.456142729520798,0.3909
2.1249088883399962,0.4169
2.8191810131072996,0.3659
2.5843993425369263,0.3831
2.667472076416016,0.3876
2.3731765151023865,0.4019
2.1852744996547697,0.4119
2.103733479976654,0.4279
2.685679429769516,0.3717
2.095271188020706,0.4145
1.9284306764602661,0.4275
1.8790719717741013,0.4331
2.4788262218236925,0.3895
2.1903649032115937,0.4089
2.4898532807826994,0.4172
3.3458692371845244,0.3455
2.4015208750963213,0.3781
2.2776548624038697,0.3923
2.7525187969207763,0.3586
2.403032970428467,0.381
2.385013622045517,0.3742
2.049526995420456,0.4125
1.996491289138794,0.4161
2.3239865750074387,0.4064
