loss,accuracy
2.3108874917030335,0.1002
2.211409866809845,0.1152
2.218900126218796,0.1929
2.3161732375621797,0.1012
2.192263787984848,0.1882
1.9781245112419128,0.264
1.9231632679700852,0.31
1.9827290683984757,0.2712
1.9134507209062577,0.3
2.04515620470047,0.2548
2.083009710907936,0.2356
1.83051618039608,0.3409
1.6684827238321305,0.3925
1.7231335520744324,0.3897
1.7502927422523498,0.363
1.7514569759368896,0.3542
1.609518912434578,0.4552
1.937708431482315,0.334
1.7548997312784196,0.3662
1.7463075190782547,0.3747
1.5939478486776353,0.4235
1.5960246056318284,0.4076
1.606278085708618,0.4269
1.7981679648160935,0.3554
1.5766698241233825,0.4366
1.5507747918367385,0.4411
1.7302161574363708,0.3731
1.5938901841640472,0.4271
1.5411769300699234,0.4434
1.8793833404779434,0.3549
1.7627822875976562,0.3685
1.489048609137535,0.4801
1.4037394553422928,0.4971
1.4138795554637908,0.4897
1.3969725281000138,0.5033
1.4248335719108582,0.4767
1.3643891632556915,0.5161
1.5237290918827058,0.4368
1.8410841166973113,0.3537
1.3994060635566712,0.5081
1.5564153969287873,0.4502
1.4600610792636872,0.4883
1.5909100294113159,0.4319
1.3730484545230865,0.5328
1.3492013812065125,0.5343
1.4941277652978897,0.4585
2.1741541743278505,0.3421
1.412347713112831,0.4967
1.3207181692123413,0.5258
1.3994001686573028,0.5019
1.5462142795324325,0.4524
1.3615795105695725,0.5266
1.4148012280464173,0.5036
1.282095581293106,0.5776
1.5490844994783401,0.4302
1.357854613661766,0.5226
1.599355947971344,0.4244
2.1239496767520905,0.3622
1.3889175087213517,0.4986
1.3100565254688263,0.541
1.399802577495575,0.5108
1.3473787993192672,0.5336
1.2377788960933684,0.5678
1.25854731798172,0.5566
1.4357711166143416,0.4808
1.3224161952733993,0.5481
1.3617764949798583,0.5363
1.2888536632061005,0.5592
1.4461236387491225,0.4926
1.465580488741398,0.4754
1.5387579098343849,0.4522
1.3970931202173233,0.5077
1.5298273682594299,0.4664
1.3184064477682114,0.523
1.4112112998962403,0.511
1.333492711186409,0.5375
1.2204074412584305,0.5621
1.2133945524692535,0.5735
1.3689996778964997,0.5219
1.241743940114975,0.559
