loss,accuracy
2.4371166467666625,0.1643
2.195154923200607,0.2031
2.3358166933059694,0.2461
2.9350428700447084,0.1963
2.1326275020837784,0.2988
1.9315954536199569,0.3656
1.9298711508512496,0.3723
2.2408763080835343,0.3351
1.9826367527246476,0.3595
2.50073863863945,0.3152
1.8670561283826828,0.3825
2.0505725026130674,0.3591
1.8994249135255814,0.3736
2.0135155260562896,0.3855
1.751421108841896,0.428
2.1337494909763337,0.3645
1.7296389371156693,0.4305
2.5479920119047166,0.3455
1.8138230234384536,0.428
2.2950426161289217,0.3709
1.7206224977970124,0.4456
2.088042652606964,0.3701
1.9267507165670394,0.4232
2.4287827730178835,0.3502
2.011678531765938,0.396
2.0586426466703416,0.4142
1.7631360858678817,0.444
1.9212380826473237,0.4355
2.16459598839283,0.4034
3.477831298112869,0.315
2.1934704035520554,0.3787
1.6425768584012985,0.481
1.7689793586730957,0.464
2.1698741525411607,0.4307
1.8329640358686448,0.45
1.6700575202703476,0.4843
1.7985079169273377,0.4777
2.3330307841300963,0.417
2.073356547951698,0.4255
1.9560831516981125,0.4577
1.9766178160905838,0.4454
2.356579864025116,0.4167
2.4773066639900208,0.4063
1.6496588706970214,0.476
2.064029538631439,0.4435
2.3260199785232545,0.4021
2.6904399693012238,0.3536
1.8210208415985107,0.4631
1.832893615961075,0.4679
1.7789670258760453,0.4694
3.046118748188019,0.3674
2.103890961408615,0.4645
2.230908688902855,0.4531
1.768838420510292,0.5046
2.412343180179596,0.403
1.7646135628223418,0.4793
2.4391428947448732,0.4216
2.0165015310049057,0.4435
1.965686559677124,0.4639
1.9120246648788453,0.498
2.500087833404541,0.4363
2.069734734296799,0.4617
1.7132927060127259,0.4976
1.8975713163614274,0.4609
2.407802331447601,0.393
1.7791469991207123,0.4947
2.1372699707746508,0.4692
2.0825953423976897,0.4851
2.068281802535057,0.4623
2.7025285363197327,0.373
2.471025675535202,0.4088
2.435666972398758,0.3948
2.2329965233802795,0.4234
2.453828090429306,0.4167
1.8726256430149077,0.4927
2.0873052775859833,0.4736
1.863422194123268,0.4837
2.0279390543699263,0.4774
2.257283699512482,0.445
1.8575514674186706,0.484
1.600054097175598,0.5263
2.193182384967804,0.4437
2.2804053097963335,0.4677
2.016750657558441,0.4847
1.8390186935663224,0.5011
1.89603810608387,0.4909
2.066225278377533,0.4684
1.785557134449482,0.4878
2.1806973993778227,0.4634
2.8325794994831086,0.3878
2.371503746509552,0.4577
1.9271043509244918,0.5023
2.0261582493782044,0.4885
2.443992483615875,0.417
2.3889935195446013,0.4279
1.9579581558704375,0.4816
1.7252982676029205,0.5176
2.2609066337347032,0.4597
2.172122412919998,0.4665
2.017032450437546,0.5022
2.4907778918743135,0.4607
2.3298492610454558,0.4497
1.9422067701816559,0.4836
2.2954138934612276,0.4518
2.247530996799469,0.4732
2.384904593229294,0.4342
1.7728531181812286,0.5116
1.7795308858156205,0.5032
1.916796237230301,0.503
